"guideline","version","file_desc","type","host","method","site","mo","rank_index","ab","disk_dose","breakpoint_S","breakpoint_R","note","sheet"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Ticarcillin-clavulanic acid",NA,"8","16","[3] For susceptibility testing purposes, the concentration of clavulanic acid is fixed at 2 mg/L.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Ticarcillin-clavulanic acid","75/10 mcg","23","20",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Temocillin",NA,"Note","Note","[5] Breakpoints still under consideration.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Temocillin",NA,"Note","Note","[5] Breakpoints still under consideration.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"E. coli, Klebsiella spp. (except K. aerogenes), Raoultella spp. and  P. mirabilis",NA,"Mecillinam (uncomplicated UTI only)",NA,"8","8","[6] Agar dilution is the reference method for mecillinam MIC determination.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"E. coli, Klebsiella spp. (except K. aerogenes), Raoultella spp. and  P. mirabilis",NA,"Mecillinam (uncomplicated UTI only)","10 mcg","15","15","[D] Ignore isolated colonies within the inhibition zone for E. coli.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Cefadroxil (uncomplicated UTI only)",NA,"16","16",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Cefadroxil (uncomplicated UTI only)","30 mcg","12","12",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Cefalexin (uncomplicated UTI only)",NA,"16","16",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Cefalexin (uncomplicated UTI only)","30 mcg","14","14",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Cefepime",NA,"1","4",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Cefepime","30 mcg","27","24",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Cefixime (uncomplicated UTI only)",NA,"1","1",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Cefixime (uncomplicated UTI only)","5 mcg","17","17",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Cefotaxime",NA,"1","2",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Cefotaxime","5 mcg","20","17",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Cefoxitin (screen)","30 mcg","19","19","[2] The cefoxitin ECOFF (8 mg/L) has a high sensitivity but poor specificity for identification of AmpC-producing Enterobacterales as this agent is also affected by permeability alterations and some carbapenemases. Classical non-AmpC producers are wild type, whereas plasmid AmpC producers or chromosomal AmpC hyperproducers are non-wild type.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Cefpodoxime  (uncomplicated UTI only)",NA,"1","1",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Cefpodoxime  (uncomplicated UTI only)","10 mcg","21","21",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Ceftaroline",NA,"0.5","0.5",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Ceftaroline","5 mcg","23","23",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Ceftazidime",NA,"1","4",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Ceftazidime","10 mcg","22","19",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Ceftazidime-avibactam",NA,"8","8","[3] For susceptibility testing purposes, the concentration of avibactam is fixed at 4 mg/L.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Ceftazidime-avibactam","10/4 mcg","13","13",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Ceftibuten (UTI only)",NA,"1","1",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Ceftibuten (UTI only)","30 mcg","23","23",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Ceftobiprole",NA,"0.25","0.25",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Ceftobiprole","5 mcg","23","23",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Ceftolozane-tazobactam",NA,"1","1","[4] For susceptibility testing purposes, the concentration of tazobactam is fixed at 4 mg/L.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Ceftolozane-tazobactam","30/10 mcg","23","23",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Ceftriaxone",NA,"1","2",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Ceftriaxone","30 mcg","25","22",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"E. coli, Klebsiella spp. (except K. aerogenes), Raoultella spp. and P. mirabilis",NA,"Cefuroxime iv",NA,"8","8",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"E. coli, Klebsiella spp. (except K. aerogenes), Raoultella spp. and P. mirabilis",NA,"Cefuroxime iv","30 mcg","19","19",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"E. coli, Klebsiella spp. (except K. aerogenes), Raoultella spp. and  P. mirabilis",NA,"Cefuroxime oral (uncomplicated UTI only)",NA,"8","8",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"E. coli, Klebsiella spp. (except K. aerogenes), Raoultella spp. and  P. mirabilis",NA,"Cefuroxime oral (uncomplicated UTI only)","30 mcg","19","19",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Ertapenem",NA,"0.5","0.5",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Ertapenem","10 mcg","25","25",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Imipenem",NA,"2","4",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Imipenem","10 mcg","22","17",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Morganella morganii,Proteus spp. and Providencia spp.",NA,"Imipenem",NA,"0.125","4","[2] The intrinsically low activity of imipenem against Morganella morganii,Proteus spp. and Providencia spp. requires the high exposure of imipenem.","Enterobacterales"
