"guideline","version","file_desc","type","host","method","site","mo","rank_index","ab","disk_dose","breakpoint_S","breakpoint_R","note","sheet"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"Staphylococcus spp.",NA,"Piperacillin-tazobactam",NA,"Note","Note","[1] Most S. aureusare penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. Isolates that test susceptible to benzylpenicillin and cefoxitin can be reported susceptible to all penicillins. Isolatesthat test resistant to benzylpenicillin but susceptible to cefoxitin are susceptible to β-lactam β-lactamase inhibitor combinations, the isoxazolylpenicillins (oxacillin, cloxacillin, dicloxacillin and flucloxacillin) and nafcillin. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. Isolates that test resistant to cefoxitin are resistant to all penicillins. | [2] Most coagulase-negative staphylococci are penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. No currently available method can reliably detect penicillinase production in coagulase-negative staphylococci but methicillin resistance can be detected with cefoxitin as described. | [3] Ampicillin susceptible S. saprophyticus are mecA-negative and susceptible to ampicillin, amoxicillin and piperacillin (without or with a beta-lactamase inhibitor).
4.S. aureus,S. lugdunensis and S. saprophyticus with oxacillin MIC values >2 mg/L are mostly methicillin resistant due to the presence of the mecA or mecC gene. Occasionally oxacillin MIC values are high in S. aureus in absence of mec-gene mediated resistance. These isolates have been called BORSA (borderline oxacillin resistant S. aureus). EUCAST does not recommend systematic screening for BORSA. For coagulase-negative staphylococci other than S. saprophyticus and S. lugdunensis, the oxacillin MIC in methicillin resistant isolates is >0.25 mg/L.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"Staphylococcus spp.",NA,"Piperacillin-tazobactam",NA,"Note","Note","[A] Most S. aureusare penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. Isolates that test susceptible to benzylpenicillin and cefoxitin can be reported susceptible to all penicillins. Isolatesthat test resistant to benzylpenicillin but susceptible to cefoxitin are susceptible to β-lactam β-lactamase inhibitor combinations, the isoxazolylpenicillins (oxacillin, cloxacillin, dicloxacillin and flucloxacillin) and nafcillin. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. Isolates that test resistant to cefoxitin are resistant to all penicillins. | [C] Most coagulase-negative staphylococci are penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. No currently available method can reliably detect penicillinase production in coagulase-negative staphylococci but methicillin resistance can be detected with cefoxitin as described. | [D] Ampicillin susceptible S. saprophyticus are mecA-negative and susceptible to ampicillin, amoxicillin and piperacillin (without or with a beta-lactamase inhibitor).
4.S. aureus,S. lugdunensis and S. saprophyticus with oxacillin MIC values >2 mg/L are mostly methicillin resistant due to the presence of the mecA or mecC gene. Occasionally oxacillin MIC values are high in S. aureus in absence of mec-gene mediated resistance. These isolates have been called BORSA (borderline oxacillin resistant S. aureus). EUCAST does not recommend systematic screening for BORSA. For coagulase-negative staphylococci other than S. saprophyticus and S. lugdunensis, the oxacillin MIC in methicillin resistant isolates is >0.25 mg/L.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"Staphylococcus spp.",NA,"Ticarcillin",NA,"Note","Note","[1] Most S. aureusare penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. Isolates that test susceptible to benzylpenicillin and cefoxitin can be reported susceptible to all penicillins. Isolatesthat test resistant to benzylpenicillin but susceptible to cefoxitin are susceptible to β-lactam β-lactamase inhibitor combinations, the isoxazolylpenicillins (oxacillin, cloxacillin, dicloxacillin and flucloxacillin) and nafcillin. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. Isolates that test resistant to cefoxitin are resistant to all penicillins. | [2] Most coagulase-negative staphylococci are penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. No currently available method can reliably detect penicillinase production in coagulase-negative staphylococci but methicillin resistance can be detected with cefoxitin as described.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"Staphylococcus spp.",NA,"Ticarcillin",NA,"Note","Note","[A] Most S. aureusare penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. Isolates that test susceptible to benzylpenicillin and cefoxitin can be reported susceptible to all penicillins. Isolatesthat test resistant to benzylpenicillin but susceptible to cefoxitin are susceptible to β-lactam β-lactamase inhibitor combinations, the isoxazolylpenicillins (oxacillin, cloxacillin, dicloxacillin and flucloxacillin) and nafcillin. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. Isolates that test resistant to cefoxitin are resistant to all penicillins. | [C] Most coagulase-negative staphylococci are penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. No currently available method can reliably detect penicillinase production in coagulase-negative staphylococci but methicillin resistance can be detected with cefoxitin as described.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"Staphylococcus spp.",NA,"Ticarcillin-clavulanic acid",NA,"Note","Note","[1] Most S. aureusare penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. Isolates that test susceptible to benzylpenicillin and cefoxitin can be reported susceptible to all penicillins. Isolatesthat test resistant to benzylpenicillin but susceptible to cefoxitin are susceptible to β-lactam β-lactamase inhibitor combinations, the isoxazolylpenicillins (oxacillin, cloxacillin, dicloxacillin and flucloxacillin) and nafcillin. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. Isolates that test resistant to cefoxitin are resistant to all penicillins. | [2] Most coagulase-negative staphylococci are penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. No currently available method can reliably detect penicillinase production in coagulase-negative staphylococci but methicillin resistance can be detected with cefoxitin as described.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"Staphylococcus spp.",NA,"Ticarcillin-clavulanic acid",NA,"Note","Note","[A] Most S. aureusare penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. Isolates that test susceptible to benzylpenicillin and cefoxitin can be reported susceptible to all penicillins. Isolatesthat test resistant to benzylpenicillin but susceptible to cefoxitin are susceptible to β-lactam β-lactamase inhibitor combinations, the isoxazolylpenicillins (oxacillin, cloxacillin, dicloxacillin and flucloxacillin) and nafcillin. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. Isolates that test resistant to cefoxitin are resistant to all penicillins. | [C] Most coagulase-negative staphylococci are penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. No currently available method can reliably detect penicillinase production in coagulase-negative staphylococci but methicillin resistance can be detected with cefoxitin as described.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"S. aureus",NA,"Phenoxymethylpenicillin",NA,"Note","Note","[1] Most S. aureusare penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. Isolates that test susceptible to benzylpenicillin and cefoxitin can be reported susceptible to all penicillins. Isolatesthat test resistant to benzylpenicillin but susceptible to cefoxitin are susceptible to β-lactam β-lactamase inhibitor combinations, the isoxazolylpenicillins (oxacillin, cloxacillin, dicloxacillin and flucloxacillin) and nafcillin. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. Isolates that test resistant to cefoxitin are resistant to all penicillins.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"S. aureus",NA,"Phenoxymethylpenicillin",NA,"Note","Note","[A] Most S. aureusare penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. Isolates that test susceptible to benzylpenicillin and cefoxitin can be reported susceptible to all penicillins. Isolatesthat test resistant to benzylpenicillin but susceptible to cefoxitin are susceptible to β-lactam β-lactamase inhibitor combinations, the isoxazolylpenicillins (oxacillin, cloxacillin, dicloxacillin and flucloxacillin) and nafcillin. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. Isolates that test resistant to cefoxitin are resistant to all penicillins.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"Coagulase-negative staphylococci",NA,"Phenoxymethylpenicillin",NA,"Note","Note","[C] Most coagulase-negative staphylococci are penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. No currently available method can reliably detect penicillinase production in coagulase-negative staphylococci but methicillin resistance can be detected with cefoxitin as described.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"S. pseudintermedius and S. schleiferi",NA,"Oxacillin (screen only)","1 mcg","20","20","[E] For screening for methicillin resistance in S. pseudintermedius and S. schleiferi.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"other staphylococci",NA,"Oxacillin",NA,"Note","Note","[1] Most S. aureusare penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. Isolates that test susceptible to benzylpenicillin and cefoxitin can be reported susceptible to all penicillins. Isolatesthat test resistant to benzylpenicillin but susceptible to cefoxitin are susceptible to β-lactam β-lactamase inhibitor combinations, the isoxazolylpenicillins (oxacillin, cloxacillin, dicloxacillin and flucloxacillin) and nafcillin. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. Isolates that test resistant to cefoxitin are resistant to all penicillins.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"other staphylococci",NA,"Oxacillin",NA,"Note","Note","[A] Most S. aureusare penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. Isolates that test susceptible to benzylpenicillin and cefoxitin can be reported susceptible to all penicillins. Isolatesthat test resistant to benzylpenicillin but susceptible to cefoxitin are susceptible to β-lactam β-lactamase inhibitor combinations, the isoxazolylpenicillins (oxacillin, cloxacillin, dicloxacillin and flucloxacillin) and nafcillin. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. Isolates that test resistant to cefoxitin are resistant to all penicillins.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"Staphylococcus spp.",NA,"Cloxacillin",NA,"Note","Note","[1] Most S. aureusare penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. Isolates that test susceptible to benzylpenicillin and cefoxitin can be reported susceptible to all penicillins. Isolatesthat test resistant to benzylpenicillin but susceptible to cefoxitin are susceptible to β-lactam β-lactamase inhibitor combinations, the isoxazolylpenicillins (oxacillin, cloxacillin, dicloxacillin and flucloxacillin) and nafcillin. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. Isolates that test resistant to cefoxitin are resistant to all penicillins. | [2] Most coagulase-negative staphylococci are penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. No currently available method can reliably detect penicillinase production in coagulase-negative staphylococci but methicillin resistance can be detected with cefoxitin as described.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"Staphylococcus spp.",NA,"Cloxacillin",NA,"Note","Note","[A] Most S. aureusare penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. Isolates that test susceptible to benzylpenicillin and cefoxitin can be reported susceptible to all penicillins. Isolatesthat test resistant to benzylpenicillin but susceptible to cefoxitin are susceptible to β-lactam β-lactamase inhibitor combinations, the isoxazolylpenicillins (oxacillin, cloxacillin, dicloxacillin and flucloxacillin) and nafcillin. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. Isolates that test resistant to cefoxitin are resistant to all penicillins. | [C] Most coagulase-negative staphylococci are penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. No currently available method can reliably detect penicillinase production in coagulase-negative staphylococci but methicillin resistance can be detected with cefoxitin as described.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"Staphylococcus spp.",NA,"Dicloxacillin",NA,"Note","Note","[1] Most S. aureusare penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. Isolates that test susceptible to benzylpenicillin and cefoxitin can be reported susceptible to all penicillins. Isolatesthat test resistant to benzylpenicillin but susceptible to cefoxitin are susceptible to β-lactam β-lactamase inhibitor combinations, the isoxazolylpenicillins (oxacillin, cloxacillin, dicloxacillin and flucloxacillin) and nafcillin. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. Isolates that test resistant to cefoxitin are resistant to all penicillins. | [2] Most coagulase-negative staphylococci are penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. No currently available method can reliably detect penicillinase production in coagulase-negative staphylococci but methicillin resistance can be detected with cefoxitin as described.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"Staphylococcus spp.",NA,"Dicloxacillin",NA,"Note","Note","[A] Most S. aureusare penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. Isolates that test susceptible to benzylpenicillin and cefoxitin can be reported susceptible to all penicillins. Isolatesthat test resistant to benzylpenicillin but susceptible to cefoxitin are susceptible to β-lactam β-lactamase inhibitor combinations, the isoxazolylpenicillins (oxacillin, cloxacillin, dicloxacillin and flucloxacillin) and nafcillin. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. Isolates that test resistant to cefoxitin are resistant to all penicillins. | [C] Most coagulase-negative staphylococci are penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. No currently available method can reliably detect penicillinase production in coagulase-negative staphylococci but methicillin resistance can be detected with cefoxitin as described.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"Staphylococcus spp.",NA,"Flucloxacillin",NA,"Note","Note","[1] Most S. aureusare penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. Isolates that test susceptible to benzylpenicillin and cefoxitin can be reported susceptible to all penicillins. Isolatesthat test resistant to benzylpenicillin but susceptible to cefoxitin are susceptible to β-lactam β-lactamase inhibitor combinations, the isoxazolylpenicillins (oxacillin, cloxacillin, dicloxacillin and flucloxacillin) and nafcillin. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. Isolates that test resistant to cefoxitin are resistant to all penicillins. | [2] Most coagulase-negative staphylococci are penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. No currently available method can reliably detect penicillinase production in coagulase-negative staphylococci but methicillin resistance can be detected with cefoxitin as described.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"Staphylococcus spp.",NA,"Flucloxacillin",NA,"Note","Note","[A] Most S. aureusare penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. Isolates that test susceptible to benzylpenicillin and cefoxitin can be reported susceptible to all penicillins. Isolatesthat test resistant to benzylpenicillin but susceptible to cefoxitin are susceptible to β-lactam β-lactamase inhibitor combinations, the isoxazolylpenicillins (oxacillin, cloxacillin, dicloxacillin and flucloxacillin) and nafcillin. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. Isolates that test resistant to cefoxitin are resistant to all penicillins. | [C] Most coagulase-negative staphylococci are penicillinase producers and some are methicillin resistant. Either mechanism renders them resistant to benzylpenicillin, phenoxymethylpenicillin, ampicillin, amoxicillin, piperacillin and ticarcillin. No currently available method can reliably detect penicillinase production in coagulase-negative staphylococci but methicillin resistance can be detected with cefoxitin as described.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"Staphylococcus spp.",NA,"Cefaclor",NA,"Note","Note","[1] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F. | [2] See table of dosages.
3.S. aureus and S. lugdunensis with cefoxitin MIC values >4 mg/L and S. saprophyticus with cefoxitin MIC values >8 mg/L are methicillin resistant, mostly due to the presence of the mecA or mecC gene. Disk diffusion reliably predicts methicillin resistance.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"Staphylococcus spp.",NA,"Cefaclor",NA,"Note","Note","[A] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F. | [2] See table of dosages.
3.S. aureus and S. lugdunensis with cefoxitin MIC values >4 mg/L and S. saprophyticus with cefoxitin MIC values >8 mg/L are methicillin resistant, mostly due to the presence of the mecA or mecC gene. Disk diffusion reliably predicts methicillin resistance.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"Staphylococcus spp.",NA,"Cefadroxil",NA,"Note","Note","[1] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"Staphylococcus spp.",NA,"Cefadroxil",NA,"Note","Note","[A] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"Staphylococcus spp.",NA,"Cefalexin",NA,"Note","Note","[1] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"Staphylococcus spp.",NA,"Cefalexin",NA,"Note","Note","[A] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"Staphylococcus spp.",NA,"Cefazolin",NA,"Note","Note","[1] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"Staphylococcus spp.",NA,"Cefazolin",NA,"Note","Note","[A] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"Staphylococcus spp.",NA,"Cefepime",NA,"Note","Note","[1] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"Staphylococcus spp.",NA,"Cefepime",NA,"Note","Note","[A] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"Staphylococcus spp.",NA,"Cefotaxime",NA,"Note","Note","[1] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F. | [2] See table of dosages.
3.S. aureus and S. lugdunensis with cefoxitin MIC values >4 mg/L and S. saprophyticus with cefoxitin MIC values >8 mg/L are methicillin resistant, mostly due to the presence of the mecA or mecC gene. Disk diffusion reliably predicts methicillin resistance.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","DISK",NA,"Staphylococcus spp.",NA,"Cefotaxime",NA,"Note","Note","[A] Susceptibility of staphylococci to cephalosporins is inferred from the cefoxitin susceptibility except for cefixime, ceftazidime, ceftazidime-avibactam, ceftibuten and ceftolozane-tazobactam, which do not have breakpoints and should not be used for staphylococcal infections. For agents given orally, care to achieve sufficient exposure at the site of the infection should be exercised. If cefotaxime and ceftriaxone are reported for methicillin-susceptible staphylococci, these should be reported “Susceptible, increased exposure” (I). Some methicillin-resistant S. aureus are susceptible to ceftaroline and ceftobiprole, see Notes 5/D and 7/F. | [2] See table of dosages.
3.S. aureus and S. lugdunensis with cefoxitin MIC values >4 mg/L and S. saprophyticus with cefoxitin MIC values >8 mg/L are methicillin resistant, mostly due to the presence of the mecA or mecC gene. Disk diffusion reliably predicts methicillin resistance.","Staphylococcus"
"EUCAST 2021","11.0","Clinical Breakpoint Tables v. 11.0","human","human","MIC",NA,"S. aureus and coagulase-negative staphylococci other than S. epidermidis",NA,"Cefoxitin (screen only)",NA,"Note","Note","[4] For staphylococci other than S. aureus, S. lugdunensis and S. saprophyticus, the cefoxitin MIC is a poorer predictor of methicillin resistance than the disk diffusion test.","Staphylococcus"
