Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Microorganism	PHVS_Microorganism_CDC	2.16.840.1.114222.4.11.1009	12	Microorganisms/infectious agents	Published	09/01/2020	Value set updated based on the September 1, 2020 US Edition of SNOMED CT 

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
417400000	Acanthamoeba terricola (organism)	Acanthamoeba terricola (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
417498003	Acanthamoeba triangularis (organism)	Acanthamoeba triangularis (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
417225007	Acanthamoeba tubiashi (organism)	Acanthamoeba tubiashi (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
112372000	Acara virus (organism)	Acara virus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
59520005	Acaulium acremonium (organism)	Acaulium acremonium (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
423867006	Acetanaerobacterium elongatum (organism)	Acetanaerobacterium elongatum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
425276005	Acetitomaculum ruminis (organism)	Acetitomaculum ruminis (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
86860008	Acetivibrio cellulolyticus (organism)	Acetivibrio cellulolyticus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
64755006	Acetivibrio ethanolgignens (organism)	Acetivibrio ethanolgignens (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
113371002	Acetivibrio multivorans (organism)	Acetivibrio multivorans (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
422656003	Acetoanaerobium noterae (organism)	Acetoanaerobium noterae (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
396950003	Acetobacter aceti (organism)	Acetobacter aceti (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413398000	Acetobacter calcoaceticus (organism)	Acetobacter calcoaceticus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413399008	Acetobacter cerevisiae (organism)	Acetobacter cerevisiae (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413400001	Acetobacter cibinongensis (organism)	Acetobacter cibinongensis (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413401002	Acetobacter estunensis (organism)	Acetobacter estunensis (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
396953001	Acetobacter hansenii (organism)	Acetobacter hansenii (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413402009	Acetobacter indonesiensis (organism)	Acetobacter indonesiensis (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
396951004	Acetobacter liquefaciens (organism)	Acetobacter liquefaciens (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413403004	Acetobacter lovaniensis (organism)	Acetobacter lovaniensis (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413404005	Acetobacter malorum (organism)	Acetobacter malorum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413405006	Acetobacter orientalis (organism)	Acetobacter orientalis (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413406007	Acetobacter orleanensis (organism)	Acetobacter orleanensis (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
396952006	Acetobacter pasteurianus (organism)	Acetobacter pasteurianus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
708522006	Acetobacter persici (organism)	Acetobacter persici (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413408008	Acetobacter polyoxogenes (organism)	Acetobacter polyoxogenes (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413409000	Acetobacter pomorum (organism)	Acetobacter pomorum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413411009	Acetobacter syzygii (organism)	Acetobacter syzygii (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413412002	Acetobacter tropicalis (organism)	Acetobacter tropicalis (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
424569008	Acetobacterium bakii (organism)	Acetobacterium bakii (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
423207002	Acetobacterium carbinolicum (organism)	Acetobacterium carbinolicum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
423382008	Acetobacterium fimetarium (organism)	Acetobacterium fimetarium (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
423397006	Acetobacterium malicum (organism)	Acetobacterium malicum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
425330009	Acetobacterium paludosum (organism)	Acetobacterium paludosum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
424854001	Acetobacterium tundrae (organism)	Acetobacterium tundrae (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
424715009	Acetobacterium wieringae (organism)	Acetobacterium wieringae (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
423729004	Acetobacterium woodii (organism)	Acetobacterium woodii (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
422574001	Acetofilamentum rigidum (organism)	Acetofilamentum rigidum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
422502003	Acetohalobium arabaticum (organism)	Acetohalobium arabaticum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
422664009	Acetomicrobium faecale (organism)	Acetomicrobium faecale (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
419477005	Acetomicrobium flavidum (organism)	Acetomicrobium flavidum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
423776008	Acetonema longum (organism)	Acetonema longum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
424961003	Acetothermus paucivorans (organism)	Acetothermus paucivorans (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
407385001	Acheta domestica densovirus (organism)	Acheta domestica densovirus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
22832003	Acholeplasma axanthum (organism)	Acholeplasma axanthum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
113372009	Acholeplasma brassicae (organism)	Acholeplasma brassicae (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
113373004	Acholeplasma cavigenitalium (organism)	Acholeplasma cavigenitalium (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
32630003	Acholeplasma equifetale (organism)	Acholeplasma equifetale (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
26032004	Acholeplasma granularum (organism)	Acholeplasma granularum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
85587006	Acholeplasma hippikon (organism)	Acholeplasma hippikon (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
89082003	Acholeplasma laidlawii (organism)	Acholeplasma laidlawii (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
51625006	Acholeplasma modicum (organism)	Acholeplasma modicum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
39287001	Acholeplasma morum (organism)	Acholeplasma morum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
113374005	Acholeplasma multilocale (organism)	Acholeplasma multilocale (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
86450009	Acholeplasma oculi (organism)	Acholeplasma oculi (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
113375006	Acholeplasma palmae (organism)	Acholeplasma palmae (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
14040006	Acholeplasma parvum (organism)	Acholeplasma parvum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
422918002	Acholeplasma pleciae (organism)	Acholeplasma pleciae (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
424090007	Acholeplasma vituli (organism)	Acholeplasma vituli (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
423565007	Achromatium oxaliferum (organism)	Achromatium oxaliferum (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
712772009	Achromobacter animicus (organism)	Achromobacter animicus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
712770001	Achromobacter anxifer (organism)	Achromobacter anxifer (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413413007	Achromobacter cycloclastes (organism)	Achromobacter cycloclastes (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413414001	Achromobacter denitrificans (organism)	Achromobacter denitrificans (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
