"fullname"	"fullname_new"	"ref"	"prevalence"
"Achaetomium purpurascens"	"Chaetomium purpurascens"	"Udagawa et al., 1982"	2
"Achaetomium strumarium"	"Chaetomium strumarium"	"Rai et al., 1964"	2
"Achaetomium uniapiculatum"	"Chaetomium uniapiculatum"	"Rai et al., 1971"	2
"Achlya apiculata"	"Newbya apiculata"	"De Bary, 1888"	3
"Achlya benekei"	"Protoachlya benekei"	"Furtado, 1965"	3
"Achlya brasiliensis"	"Newbya brasiliensis"	"Milanez, 1965"	3
"Achlya curvicollis"	"Newbya curvicollis"	"Beroqui, 1969"	3
"Achlya megasperma"	"Newbya megasperma"	"Humphrey, 1893"	3
"Achlya mucronata"	"Protoachlya mucronata"	"Ziegler, 1958"	3
"Achlya oblongata"	"Newbya oblongata"	"De Bary, 1888"	3
"Achlya oligocantha"	"Newbya oligocantha"	"De Bary, 1888"	3
"Achlya paradoxa"	"Isoachlya paradoxa"	"Coker, 1914"	3
"Achlya recurva"	"Newbya recurva"	"Cornu, 1880"	3
"Achlya spinosa"	"Newbya spinosa"	"De Bary, 1882"	3
"Achlya stellata"	"Newbya stellata"	"De Bary, 1888"	3
"Achnanthes bioreti"	"Psammothidium bioreti"	"Germain"	3
"Achnanthes calcar"	"Planothidium calcar"	"Cleve"	3
"Achnanthes clevei"	"Karayevia clevei"	"Grunow"	3
"Achnanthes duthii"	"Achnanthidium duthii"	"Screen"	3
"Achnanthes exilis"	"Achnanthidium exilis"	"Kutz"	3
"Achnanthes flexella"	"Eucocconeis flexella"	"Brun"	3
"Achnanthes flexella alpestris"	"Eucocconeis flexella alpestris"	"Brun"	3
"Achnanthes kolbei"	"Kolbesia kolbei"	"Hust"	3
"Achnanthes kryophila"	"Achnanthidium kryophila"	"Petersen"	3
"Achnanthes lapponica"	"Eucocconeis lapponica"	"Hust"	3
"Achnanthes lapponica ninckei"	"Eucocconeis lapponica ninckei"	"Reimer"	3
"Achnanthes laterostrata"	"Karayevia laterostrata"	"Hust"	3
"Achnanthes levanderi"	"Psammothidium levanderi"	"Hust"	3
"Achnanthes linearis"	"Rossithidium linearis"	"Grunow"	3
"Achnanthes oestrupii"	"Planothidium oestrupii"	"Hust"	3
"Achnanthes ploenensis"	"Kolbesia ploenensis"	"Hust"	3
"Achnanthes trinodis"	"Achnanthidium trinodis"	"Grunow"	3
"Achnanthidium bioreti"	"Psammothidium bioreti"	"Edlund"	3
"Achnanthidium brevipes"	"Achnanthes brevipes"	"Cleve"	3
"Achnanthidium clevei"	"Karayevia clevei"	"Czarn"	3
"Achnanthidium delicatulum"	"Planothidium delicatulum"	"Kutz"	3
"Acholeplasma entomophilum"	"Mesoplasma entomophilum"	"Tully et al., 1988"	3
"Acholeplasma florum"	"Mesoplasma florum"	"McCoy et al., 1984"	3
"Acholeplasma seiffertii"	"Mesoplasma seiffertii"	"Bonnet et al., 1991"	3
"Achorion brumptii"	"Trichophyton brumptii"	"Langeron et al., 1936"	2
"Achorion concentricum"	"Trichophyton concentricum"	"Guiart et al., 1928"	2
"Achorion ferrugineum"	"Microsporum ferrugineum"	"Guiart et al., 1928"	3
"Achorion gallinae"	"Microsporum gallinae"	"Sabour, 1910"	3
"Achorion gypseum"	"Microsporum gypseum"	"Bodin, 1907"	3
"Achorion indicum"	"Trichophyton indicum"	"Guiart et al., 1928"	2
"Achorion milochevitchii"	"Trichophyton milochevitchii"	"Langeron et al., 1936"	2
"Achorion muris"	"Malassezia muris"	"Dodge, 1935"	2
"Achorion quinckeanum"	"Trichophyton quinckeanum"	"Zopf et al., 1896"	2
"Achorion schoenleinii"	"Trichophyton schoenleinii"	"Remak et al., 1845"	2
"Achorion soudanense"	"Trichophyton soudanense"	"Novak et al., 1969"	2
"Achorion violaceum"	"Trichophyton violaceum"	"Bloch, 1911"	2
"Achromobacter sediminum"	"Verticiella sediminum"	"Zhang et al., 2014"	2
"Achromobacter spiritinus"	"Achromobacter marplatensis"	"Vandamme et al., 2013"	2
"Achromobacter xylosoxidans denitrificans"	"Achromobacter denitrificans"	"Yabuuchi et al., 1998"	2
"Achromobacter xylosoxidans xylosoxidans"	"Achromobacter xylosoxidans"	"Yabuuchi et al., 1998"	2
"Acidicaldus organivorus"	"Acidicaldus organivorans"	"Johnson et al., 2006"	2
"Acidimangrovimonas indica"	"Allgaiera indica"	"Ren et al., 2019"	2
"Acidiphilium aminilyticum"	"Acidocella aminolytica"	"Corrig Kishimoto et al., 1994"	2
"Acidiphilium aminolytica"	"Acidocella aminolytica"	"Kishimoto et al., 1994"	2
"Acidiphilium facile"	"Acidocella facilis"	"Wichlacz et al., 1986"	2
"Acidiphilium facilis"	"Acidocella facilis"	"Wichlacz et al., 1986"	2
"Acidithiobacillus albertis"	"Acidithiobacillus albertensis"	"Kelly et al., 2000"	2
"Acidithiobacillus concretivorus"	"Acidithiobacillus thiooxidans"	"Boden et al., 2021"	2
"Acidovorax avenae avenae"	"Acidovorax avenae"	"Willems et al., 1992"	2
"Acidovorax avenae cattleyae"	"Acidovorax cattleyae"	"Willems et al., 1992"	2
"Acidovorax avenae citrulli"	"Acidovorax citrulli"	"Willems et al., 1992"	2
"Acidovorax konjaci"	"Pseudomonas avenae konjaci"	"Willems et al., 1992"	1
"Acineta buckei"	"Periacineta buckei"	"Kent, 1882"	3
"Acineta cothurnata"	"Discophrya cothurnata"	"Weisse, 1847"	3
"Acineta cuspidata"	"Metacineta cuspidata"	"Kellicott, 1885"	3
"Acineta cylindrica"	"Discophrya cylindrica"	"Perty, 1852"	3
"Acineta flexilis"	"Metacineta flexilis"	"Stokes, 1894"	3
"Acineta infusionum"	"Tokophrya infusionum"	"Stein, 1859"	3
"Acineta lacustris"	"Acinetides lacustris"	"Stokes, 1886"	3
"Acineta lasanicola"	"Loricophrya lasanicola"	"Maskell, 1887"	3
"Acineta lemnarum"	"Tokophrya lemnarum"	"Stein, 1859"	3
"Acineta livadiana"	"Paracineta livadiana"	"Mereschkowski, 1881"	3
"Acineta lyngbyi"	"Corynophrya lyngbyi"	"Ehrenberg, 1834"	3
"Acineta multitentaculata"	"Loricophrya multitentaculata"	"Sand, 1895"	3
"Acineta mystacina"	"Metacineta mystacina"	"Ehrenberg, 1838"	3
"Acineta notonectae"	"Periacineta notonectae"	"Claparede et al., 1859"	3
"Acineta paratuberosa"	"Periacineta paratuberosa"	"Nie et al., 1943"	3
"Acineta patula"	"Paracineta patula"	"Claparede et al., 1859"	3
"Acineta saifulae"	"Paracineta saifulae"	"Mereschkowsky, 1877"	3
"Acineta simplex"	"Loricophrya simplex"	"Maskell, 1887"	3
"Acineta tuba"	"Loricophrya tuba"	"Zelinka, 1962"	3
"Acinetella pappilifera"	"Acineta pappilifera"	"Jankowski, 1978"	3
"Acinetobacter dijkshoorniae"	"Acinetobacter lactucae"	"Cosgaya et al., 2016"	1
"Acinetobacter grimontii"	"Acinetobacter junii"	"Carr et al., 2003"	1
"Acinetobacter guangdongensis"	"Acinetobacter indicus"	"Feng et al., 2014"	1
"Acinetobacter pakistanensis"	"Acinetobacter bohemicus"	"Abbas et al., 2015"	1
"Acinetopsis campanuliformis"	"Dentacineta campanuliformis"	"Collin, 1909"	3
"Acremoniella bertii"	"Phaeoscopulariopsis bertii"	"Pollacci, 1921"	3
"Acremonium humicola"	"Sagenomella humicola"	"Gams, 1971"	3
"Acremonium sagenomatis"	"Sagenomella sagenomatis"	"Stolk et al., 1974"	3
"Acrosphaera collina"	"Solenosphaera collina"	"Haeckel, 1887"	3
"Acrosporella sarmentorum"	"Cladosporium sarmentorum"	"Riedl et al., 1977"	2
"Acrostalagmus koningii"	"Trichoderma koningii"	"Duche et al., 1931"	2
"Acrotheca pedrosoi"	"Fonsecaea pedrosoi"	"Fonseca et al., 1923"	2
"Acrothecium floccosum"	"Epidermophyton floccosum"	"Harz, 1871"	3
"Acrothecium penniseti"	"Curvularia penniseti"	"Mitra, 1921"	2
"Actinaurispora"	"Plantactinospora"	"Thawai et al., 2010"	2
"Actinaurispora siamensis"	"Plantactinospora siamensis"	"Thawai et al., 2010"	2
"Actinobacillus actinomycetemcomitans"	"Aggregatibacter actinomycetemcomitans"	"Topley et al., 1929"	1
"Actinobacillus muris"	"Muribacter muris"	"Bisgaard, 1988"	1
"Actinobaculum massiliae"	"Actinobaculum massiliense"	"Greub et al., 2006"	2
"Actinobaculum schaalii"	"Actinotignum schaalii"	"Lawson et al., 1997"	2
"Actinobaculum urinale"	"Actinotignum urinale"	"Hall et al., 2003"	2
"Actinobispora"	"Pseudonocardia"	"Jiang et al., 1991"	2
"Actinobispora alaniniphila"	"Pseudonocardia alaniniphila"	"Xu et al., 1999"	2
"Actinobispora aurantiaca"	"Pseudonocardia aurantiaca"	"Xu et al., 1999"	2
"Actinobispora xinjiangensis"	"Pseudonocardia xinjiangensis"	"Xu et al., 1999"	2
"Actinobispora yunnanensis"	"Pseudonocardia yunnanensis"	"Jiang et al., 1991"	2
"Actinobolus radians"	"Actinobolina radians"	"Stein, 1867"	3
"Actinobolus vorax"	"Actinobolina vorax"	"Wenrich, 1929"	3
"Actinobotrys tulasnei"	"Bremia tulasnei"	"Hoffm, 1856"	3
"Actinobranchium salparum"	"Trichophrya salparum"	"Jankowski, 1967"	3
"Actinocyclus janus"	"Charcotia janus"	"Rattray, 1890"	3
"Actinocyclus niagarae"	"Stephanodiscus niagarae"	"Sm"	3
"Actinocyclus undulatus"	"Actinoptychus undulatus"	"Ralfs"	3
"Actinomadura africana"	"Nonomuraea africana"	"Preobrazhenskaya et al., 1974"	2
"Actinomadura amylolytica"	"Thermomonospora amylolytica"	"Jiao et al., 2015"	2
"Actinomadura aurantiaca"	"Actinocorallia aurantiaca"	"Lavrova et al., 1975"	2
"Actinomadura carminata"	"Nonomuraea roseoviolacea carminata"	"Gauze et al., 1973"	2
"Actinomadura cellulosilytica"	"Thermomonospora cellulosilytica"	"Jiao et al., 2015"	2
"Actinomadura coeruleofusca"	"Saccharothrix coeruleofusca"	"Preobrazhenskaya et al., 1974"	2
"Actinomadura coeruleoviolacea"	"Goodfellowiella coeruleoviolacea"	"Preobrazhenskaya et al., 1987"	2
"Actinomadura cremea cremea"	"Actinomadura cremea"	"Gauze et al., 1987"	2
"Actinomadura cremea rifamycini"	"Actinomadura rifamycini"	"Gauze et al., 1987"	2
"Actinomadura echinospora"	"Thermomonospora echinospora"	"Kroppenstedt et al., 1991"	2
"Actinomadura fastidiosa"	"Nonomuraea fastidiosa"	"Soina et al., 1975"	2
"Actinomadura ferruginea"	"Nonomuraea ferruginea"	"Meyer, 1981"	2
"Actinomadura flava"	"Lentzea flava"	"Gauze et al., 1974"	2
"Actinomadura flexuosa"	"Thermopolyspora flexuosa"	"Meyer, 1989"	2
"Actinomadura glomerata"	"Actinocorallia glomerata"	"Itoh et al., 1996"	2
"Actinomadura hankyongense"	"Actinomadura hankyongensis"	"Siddiqi et al., 2019"	2
"Actinomadura helvata"	"Nonomuraea helvata"	"Nonomura et al., 1971"	2
"Actinomadura libanotica"	"Actinocorallia libanotica"	"Meyer, 1981"	2
"Actinomadura longicatena"	"Actinocorallia longicatena"	"Itoh et al., 1996"	2
"Actinomadura longispora"	"Saccharothrix longispora"	"Preobrazhenskaya et al., 1974"	2
"Actinomadura malachitica"	"Actinomadura viridis"	"Lavrova et al., 1972"	2
"Actinomadura meyerii"	"Actinomadura meyerae"	"Quintana et al., 2004"	2
"Actinomadura polychroma"	"Nonomuraea polychroma"	"Galatenko et al., 1987"	2
"Actinomadura pusilla"	"Nonomuraea pusilla"	"Nonomura et al., 1971"	2
"Actinomadura recticatena"	"Nonomuraea recticatena"	"Terekhova et al., 1987"	2
"Actinomadura roseola"	"Nonomuraea roseola"	"Lavrova et al., 1975"	2
