"fullname"	"fullname_new"	"ref"	"prevalence"
"Clostridium lortetii"	"Sporohalobacter lortetii"	"Oren, 1984"	2
"Clostridium mangenotii"	"Clostridioides mangenotii"	"McClung et al., 1957"	2
"Clostridium maximum"	"Sarcina maxima"	"Lawson et al., 2016"	2
"Clostridium mayombei"	"Terrisporobacter mayombei"	"Kane et al., 1992"	2
"Clostridium neopropionicum"	"Anaerotignum neopropionicum"	"Tholozan et al., 1995"	2
"Clostridium orbiscindens"	"Flavonifractor plautii"	"Winter et al., 1991"	2
"Clostridium oroticum"	"Faecalicatena orotica"	"Cato et al., 1968"	2
"Clostridium oxalicum"	"Oxalophagus oxalicus"	"Dehning et al., 1990"	2
"Clostridium papyrosolvens"	"Ruminiclostridium papyrosolvens"	"Madden et al., 1982"	2
"Clostridium paraperfringens"	"Clostridium baratii"	"Nakamura et al., 1970"	2
"Clostridium perenne"	"Clostridium baratii"	"McClung et al., 1957"	2
"Clostridium pfennigii"	"Oxobacter pfennigii"	"Krumholz et al., 1985"	2
"Clostridium propionicum"	"Anaerotignum propionicum"	"Cardon et al., 1946"	2
"Clostridium proteoclasticum"	"Butyrivibrio proteoclasticus"	"Attwood et al., 1996"	2
"Clostridium proteolyticum"	"Hathewaya proteolytica"	"Jain et al., 1988"	2
"Clostridium purinilyticum"	"Gottschalkia purinilytica"	"Durre et al., 1981"	2
"Clostridium purinolyticum"	"Gottschalkia purinilytica"	"Durre et al., 1981"	2
"Clostridium quercicolum"	"Dendrosporobacter quercicolus"	"Stankewich et al., 1971"	2
"Clostridium rectum"	"Fusobacterium mortiferum"	"Holdeman et al., 1972"	2
"Clostridium saccharolyticum"	"Lacrimispora saccharolytica"	"Murray et al., 1982"	2
"Clostridium sardiniensis"	"Clostridium sardiniense"	"Prevot, 1938"	2
"Clostridium sartagoformum"	"Clostridium sartagoforme"	"Partansky et al., 1935"	2
"Clostridium saudii"	"Clostridium saudiense"	"Angelakis et al., 2016"	2
"Clostridium sordellii"	"Paeniclostridium sordellii"	"Prevot, 1938"	2
"Clostridium sphenoides"	"Lacrimispora sphenoides"	"Bergey et al., 1923"	2
"Clostridium stercorarium"	"Thermoclostridium stercorarium"	"Madden et al., 2001"	2
"Clostridium stercorarium leptospartum"	"Thermoclostridium stercorarium leptospartum"	"Fardeau et al., 2001"	2
"Clostridium stercorarium stercorarium"	"Thermoclostridium stercorarium"	"Fardeau et al., 2001"	2
"Clostridium stercorarium stercorarium"	"Thermoclostridium stercorarium stercorarium"	"Fardeau et al., 2001"	2
"Clostridium stercorarium thermolacticum"	"Thermoclostridium stercorarium thermolacticum"	"Fardeau et al., 2001"	2
"Clostridium sticklandii"	"Acetoanaerobium sticklandii"	"Stadtman et al., 1957"	2
"Clostridium straminisolvens"	"Hungateiclostridium straminisolvens"	"Kato et al., 2004"	
"Clostridium straminisolvens"	"Acetivibrio straminisolvens"	"Kato et al., 2004"	2
"Clostridium sufflavum"	"Ruminiclostridium sufflavum"	"Nishiyama et al., 2009"	2
"Clostridium termitidis"	"Ruminiclostridium cellobioparum termitidis"	"Hethener et al., 1992"	2
"Clostridium thermaceticum"	"Moorella thermoacetica"	"Corrig Fontaine et al., 1942"	2
"Clostridium thermautotrophicum"	"Moorella thermoautotrophica"	"Corrig Wiegel et al., 1982"	
"Clostridium thermautotrophicum"	"Moorella thermoacetica"	"Wiegel et al., 1982"	2
"Clostridium thermoaceticum"	"Moorella thermoacetica"	"Fontaine et al., 1942"	2
"Clostridium thermoautotrophicum"	"Moorella thermoautotrophica"	"Wiegel et al., 1982"	
"Clostridium thermoautotrophicum"	"Moorella thermoacetica"	"Wiegel et al., 1982"	2
"Clostridium thermocellum"	"Hungateiclostridium thermocellum"	"Viljoen et al., 1926"	
"Clostridium thermocellum"	"Acetivibrio thermocellus"	"Viljoen et al., 1926"	2
"Clostridium thermocopriae"	"Thermoanaerobacter thermocopriae"	"Jin et al., 1988"	2
"Clostridium thermohydrosulfuricum"	"Thermoanaerobacter thermohydrosulfuricus"	"Klaushofer et al., 1965"	2
"Clostridium thermolacticum"	"Thermoclostridium stercorarium thermolacticum"	"Le Ruyet et al., 1988"	2
"Clostridium thermosaccharolyticum"	"Thermoanaerobacterium thermosaccharolyticum"	"McClung, 1935"	2
"Clostridium thermosulfurigenes"	"Thermoanaerobacterium thermosulfurigenes"	"Schink et al., 1983"	2
"Clostridium thermosulfurogenes"	"Thermoanaerobacterium thermosulfurigenes"	"Schink et al., 1983"	2
"Clostridium ultunense"	"Schnuerera ultunensis"	"Schnurer et al., 1996"	2
"Clostridium ventriculi"	"Sarcina ventriculi"	"Lawson et al., 2016"	2
"Clostridium villosum"	"Filifactor villosus"	"Love et al., 1979"	2
"Clostridium xylanolyticum"	"Lacrimispora xylanolytica"	"Rogers et al., 2001"	2
"Clostridium xylanovorans"	"Anaerocolumna xylanovorans"	"Mechichi et al., 2000"	2
"Coccidioides brasiliensis"	"Paracoccidioides brasiliensis"	"Almeida, 1929"	3
"Cocconeis clypeus"	"Campylodiscus clypeus"	"Ehrenberg"	3
"Cocconeis flexella"	"Eucocconeis flexella"	"Cleve"	3
"Cocconema boeckii"	"Brebissonia boeckii"	"Ehrenberg"	3
"Cocconema cistula"	"Cymbella cistula"	"Hempr"	3
"Cocconema micrococcus"	"Microsporidium micrococcus"	"Leger et al., 1921"	3
"Cocconema miyairii"	"Gurleya miyairii"	"Kudo, 1924"	3
"Cocconema parva"	"Cymbella parva"	"Sm"	3
"Cocconema pediculi"	"Nosema pediculi"	"Weiser, 1947"	3
"Cocconema pediculis-vestimenti"	"Nosema pediculis-vestimenti"	"Popow et al., 1926"	3
"Cocconema scotica"	"Cymbella scotica"	"Sm"	3
"Cocconema slavinae"	"Microsporidium slavinae"	"Leger et al., 1921"	3
"Cocconema stempelli"	"Microsporidium stempelli"	"Kudo, 1924"	3
"Cocconema sulci"	"Pleistophora sulci"	"Rasin, 1936"	3
"Coccospora brachynema"	"Steinhausia brachynema"	"Richards et al., 1971"	3
"Coccospora gatesi"	"Burkea gatesi"	"De Puytorac et al., 1963"	3
"Coccospora micrococcus"	"Microsporidium micrococcus"	"Kudo, 1925"	3
"Coccospora pulvis"	"Ameson pulvis"	"Poisson, 1953"	3
"Coccospora slavinae"	"Microsporidium slavinae"	"Poisson, 1953"	3
"Coccospora stempelli"	"Microsporidium stempelli"	"Poisson, 1953"	3
"Coccudina cicada"	"Aspidisca cicada"	"Dujardin, 1841"	3
"Cochliobolus australiensis"	"Curvularia australiensis"	"Alcorn, 1983"	2
"Cochliobolus cymbopogonis"	"Curvularia cymbopogonis"	"Hall et al., 1972"	2
"Cochliobolus eragrostidis"	"Curvularia eragrostidis"	"Sivan, 1987"	2
"Cochliobolus graminicola"	"Curvularia graminicola"	"Alcorn, 1998"	2
"Cochliobolus hawaiiensis"	"Curvularia hawaiiensis"	"Alcorn, 1978"	2
"Cochliobolus heteropogonis"	"Curvularia heteropogonis"	"Alcorn, 1990"	2
"Cochliobolus kusanoi"	"Curvularia kusanoi"	"Drechsler et al., 1942"	2
"Cochliobolus pallescens"	"Curvularia pallescens"	"Sivan, 1987"	2
"Cochliobolus perotidis"	"Curvularia perotidis"	"Alcorn, 1982"	2
"Cochliobolus ravenelii"	"Curvularia ravenelii"	"Alcorn, 1981"	2
"Cochliobolus tripogonis"	"Curvularia tripogonis"	"Alcorn, 1981"	2
"Codonella glacialis"	"Codonellopsis glacialis"	"Laackmann, 1907"	3
"Codonella orthoceras"	"Codonellopsis orthoceras"	"Haeckel, 1873"	3
"Coelastrum chodatii"	"Ducellieria chodatii"	"Ducell, 1915"	3
"Cognaticolwellia"	"Colwellia"	"Liu et al., 2021"	1
"Cognaticolwellia aestuarii"	"Colwellia aestuarii"	"Liu et al., 2021"	1
"Cognaticolwellia beringensis"	"Colwellia beringensis"	"Liu et al., 2021"	1
"Cognaticolwellia mytili"	"Colwellia mytili"	"Liu et al., 2021"	1
"Cognaticolwellia sediminilitoris"	"Colwellia sediminilitoris"	"Liu et al., 2021"	1
"Cohnella damensis"	"Cohnella damuensis"	"Luo et al., 2010"	2
"Cohnilembus caeci"	"Pseudocohnilembus caeci"	"Powers, 1935"	3
"Cohnilembus pusillus"	"Pseudocohnilembus pusillus"	"Quennerstedt, 1869"	3
"Cokeromyces poitrasii"	"Benjaminiella poitrasii"	"Benj, 1960"	3
"Coleps elongatus"	"Dictyocoleps elongatus"	"Ehrenberg, 1830"	3
"Coleps fusus"	"Tiarina fusus"	"Claparede et al., 1859"	3
"Coleps incurvus"	"Pinacocoleps incurvus"	"Ehrenberg, 1834"	3
"Coleps nolandi"	"Nolandia nolandi"	"Kahl, 1930"	3
"Coleps remanei"	"Reticoleps remanei"	"Kahl, 1933"	3
"Collaria elegans"	"Comatricha elegans"	"Dhillon et al., 1982"	3
"Collaria retispora"	"Comatricha retispora"	"Dhillon et al., 1977"	3
"Colletonema lacustre"	"Encyonema lacustre"	"Van Heurck"	3
"Colpidium campylum"	"Dexiostoma campylum"	"Stokes"	3
"Colpidium truncatum"	"Paracolpidium truncatum"	"Stokes, 1885"	3
"Colpoda acuta"	"Avestina acuta"	"Buitkamp, 1977"	3
"Colpoda augustini"	"Exocolpoda augustini"	"Foissner, 1987"	3
"Colpoda cucullulus"	"Trithigmostoma cucullulus"	"Ehrenberg"	3
"Colpoda depressa"	"Frontonia depressa"	"Stokes, 1886"	3
"Colpoda discoidea"	"Hausmanniella discoidea"	"Gellert, 1956"	3
"Colpoda elliotti"	"Relicolpoda elliotti"	"Bradbury et al., 1967"	3
"Colpoda meleagris"	"Loxophyllum meleagris"	"Muller, 1773"	3
"Colpoda patella"	"Hausmanniella patella"	"Kahl, 1931"	3
"Colpoda penardi"	"Parabryophrya penardi"	"Kahl, 1931"	3
"Colpoda pigerrima"	"Protocruzia pigerrima"	"Cohn, 1866"	3
"Colpoda quinquecirrata"	"Hausmanniella quinquecirrata"	"Gellert, 1955"	3
"Colpoda rostrum"	"Loxodes rostrum"	"Muller, 1773"	3
"Colpoda triquetrus"	"Chlamydodon triquetrus"	"Muller, 1786"	3
"Columella carpenteriaeformis"	"Biarritzina carpenteriaeformis"	"Halkyard, 1918"	3
"Colwellia demingae"	"Colwellia demingiae"	"Bowman et al., 1998"	1
"Colwellia psychroerythrus"	"Colwellia psychrerythraea"	"Deming et al., 1988"	1
"Comamonas acidovorans"	"Delftia acidovorans"	"Tamaoka et al., 1987"	2
"Comamonas thiooxidans"	"Comamonas thiooxydans"	"Narayan et al., 2011"	2
"Comatricha acanthodes"	"Paradiacheopsis acanthodes"	"Alexop, 1958"	3
"Comatricha aequalis"	"Stemonitopsis aequalis"	"Peck, 1878"	3
"Comatricha amoena"	"Stemonitopsis amoena"	"Nann-Bremek, 1968"	3
"Comatricha caespitosa"	"Paradiachea caespitosa"	"Sturgis, 1893"	3
"Comatricha confluens"	"Symphytocarpus confluens"	"Cooke et al., 1877"	3
"Comatricha cornea"	"Macbrideola cornea"	"GLister et al., 1917"	3
"Comatricha cylindrica"	"Paradiachea cylindrica"	"TMacbr, 1922"	3
"Comatricha erythropodia"	"Paradiacheopsis erythropodia"	"Ing, 1964"	3
"Comatricha fimbriata"	"Paradiacheopsis fimbriata"	"GLister et al., 1917"	3
"Comatricha hyperopta"	"Stemonitopsis hyperopta"	"Nann-Bremek, 1967"	3
"Comatricha irregularis"	"Stemonaria irregularis"	"Rex, 1891"	3
"Comatricha longa"	"Stemonaria longa"	"Peck, 1890"	3
"Comatricha lurida"	"Collaria lurida"	"Lister, 1894"	3
"Comatricha martinii"	"Macbrideola martinii"	"Alexop et al., 1954"	3
"Comatricha microcarpa"	"Paradiacheopsis microcarpa"	"Kowalski, 1975"	3
"Comatricha microspora"	"Stemonitopsis microspora"	"GLister, 1919"	3
"Comatricha nigricapillitia"	"Collaria nigricapillitia"	"ACastillo et al., 1997"	3
"Comatricha peritricha"	"Stemonitopsis peritricha"	"Nann-Bremek, 1971"	3
"Comatricha reticulata"	"Stemonitopsis reticulata"	"HCGilbert, 1932"	3
"Comatricha rispaudii"	"Paradiachea rispaudii"	"Hagelst, 1929"	3
"Comatricha rubens"	"Collaria rubens"	"Lister, 1894"	3
"Comatricha solitaria"	"Paradiacheopsis solitaria"	"Nann-Bremek, 1962"	3
"Comatricha subcaespitosa"	"Stemonitopsis subcaespitosa"	"Peck, 1890"	3
"Comatricha synsporos"	"Macbrideola synsporos"	"Alexop, 1958"	3
"Comatricha typhina"	"Stemonitopsis typhina"	"Rostaf, 1874"	3
"Combusta munda"	"Archaeodictyomitra munda"	"Yeh, 1987"	3
"Compactum lateritium"	"Blepharisma lateritium"	"Hirshfield et al."	3
"Conarachnium nigriniae"	"Lamprocyrtis nigriniae"	"Caulet, 1971"	3
"Conchiformibium"	"Conchiformibius"	"Xie et al., 2005"	2
"Conchiformibium kuhniae"	"Conchiformibius kuhniae"	"Xie et al., 2005"	2
"Conchiformibium steedae"	"Conchiformibius steedae"	"Xie et al., 2005"	2
"Conchophthirius anodontae"	"Conchophthirus anodontae"	"Stein, 1861"	3
"Conchophthirius caryoclada"	"Conchophyllum caryoclada"	"Kidder, 1933"	3
"Conchophthirius metchnikoffi"	"Phacodinium metchnikoffi"	"Certes, 1891"	3
"Conchophthirius mytili"	"Peniculistoma mytili"	"Morgan, 1925"	3
"Conchophthirus caryoclada"	"Conchophyllum caryoclada"	"Kidder, 1933"	3
"Conchophthirus discophorus"	"Discoftirius discophorus"	"Mermod, 1914"	3
"Conchophthirus mytili"	"Peniculistoma mytili"	"Morgan, 1925"	3
"Condylostoma sphagni"	"Bryometopus sphagni"	"Penard, 1922"	3
"Condylostoma terricola"	"Condylostomides terricola"	"Foissner, 1995"	3
"Condylostoma vastum"	"Electostoma vastum"	"Bock, 1955"	3
"Condylostoma vorticella"	"Linostomella vorticella"	"Ehrenberg, 1834"	3
"Conferva ferax"	"Saprolegnia ferax"	"Gruith, 1821"	3
"Conferva flocculosa"	"Tabellaria flocculosa"	"Roth"	3
"Conferva pectinalis"	"Fragilaria pectinalis"	"Mull"	3
"Confluentimicrobium"	"Actibacterium"	"Park et al., 2015"	2
"Confluentimicrobium lipolyticum"	"Actibacterium lipolyticum"	"Park et al., 2015"	2
"Confluentimicrobium naphthalenivorans"	"Actibacterium naphthalenivorans"	"Jeong et al., 2015"	2
"Conglomeromonas"	"Azospirillum"	"Skerman et al., 1983"	2
"Conglomeromonas largomobilis"	"Azospirillum largimobile"	"Skerman et al., 1983"	2
"Conglomeromonas largomobilis parooensis"	"Skermanella parooensis"	"Skerman et al., 1983"	2
"Conicospirillinoides inaequalis"	"Planispirillina inaequalis"	"Brady, 1879"	3
"Coniothecium richardiae"	"Phoma richardiae"	"Jauch, 1947"	2
"Coniothyrium myricae"	"Phoma myricae"	"Died, 1914"	2
"Conocaryomma universa"	"Praeconocaryomma universa"	"Pessagno, 1976"	3
"Conolagena favosopunctata"	"Favulina favosopunctata"	"Brady, 1881"	3
"Conoplea eryngii"	"Alternaria eryngii"	"Pers, 1822"	2
"Conorbella patelliformis"	"Pileolina patelliformis"	"Brady, 1884"	3
"Conosphaera antiqua"	"Praeconosphaera antiqua"	"Parona, 1890"	3
"Conosphaera sphaeroconus"	"Praeconosphaera sphaeroconus"	"Rust, 1898"	3
"Conosphaera tuberosa"	"Praeconosphaera tuberosa"	"Tan Sin Hok, 1927"	3
"Conotrochammina bullata"	"Earlandammina bullata"	"Hoglund, 1947"	3
"Copicyntra akikawaensis"	"Paracopicyntra akikawaensis"	"Sashida et al., 1988"	3
"Copicyntra ziyunensis"	"Paracopicyntra ziyunensis"	"Feng et al., 2002"	3
"Coprobacillus catenaformis"	"Coprobacillus cateniformis"	"Kageyama et al., 2000"	2
"Corallodendron cervinum"	"Stilbodendron cervinum"	"Cooke et al., 1888"	3
"Cordierites coralloides"	"Graphium coralloides"	"Berk et al., 1868"	3
"Cordyceps brevipes"	"Trichoderma brevipes"	"Mont, 1855"	2
"Coremium album"	"Cephalotrichum album"	"Sacc et al., 1910"	3
"Coremium coprophilum"	"Penicillium coprophilum"	"Berk et al., 1868"	3
"Coremium glandicola"	"Penicillium glandicola"	"Oudem, 1903"	3
"Coremium vulpinum"	"Penicillium vulpinum"	"Cooke et al., 1888"	3
"Corethropsis puntonii"	"Paecilomyces puntonii"	"Vuill, 1930"	3
"Cornuloculina balkwilli"	"Ophthalmidium balkwilli"	"Macfayden, 1939"	3
"Cornuloculina circularis"	"Ophthalmidium circularis"	"Chapman, 1915"	3
"Cornuspira diffusa"	"Cornuspirella diffusa"	"Heron-Allen et al., 1913"	3
"Cornuspira perforata"	"Spirillina perforata"	"Schultze, 1854"	3
"Cornuspira primitiva"	"Cornuspiroides primitiva"	"Rhumbler, 1904"	3
"Cornuspira striolata"	"Cornuspiroides striolata"	"Brady, 1882"	3
"Cornuspiroides diffusa"	"Cornuspirella diffusa"	"Heron-Allen et al., 1913"	3
"Cornuspiroides foliacea"	"Cornuspira foliacea"	"Philippi, 1844"	3
"Cornuvia metallica"	"Calomyxa metallica"	"Rostaf, 1876"	3
"Corocalyptra craspedota"	"Eucecryphalus craspedota"	"Joergensen, 1900"	3
"Corocalyptra kruegeri"	"Stichopilidium kruegeri"	"Popofsky, 1908"	3
"Corollospora comata"	"Nereiospora comata"	"Kohlm, 1962"	3
"Corynebacterium betae"	"Curtobacterium flaccumfaciens"	"Keyworth et al., 1956"	2
"Corynebacterium equi"	"Rhodococcus hoagii"	"Magnusson, 1923"	2
"Corynebacterium fascians"	"Rhodococcus fascians"	"Dowson, 1942"	2
"Corynebacterium flaccumfaciens"	"Curtobacterium flaccumfaciens"	"Dowson, 1942"	2
"Corynebacterium flaccumfaciens betae"	"Curtobacterium flaccumfaciens"	"Carlson et al., 1982"	2
"Corynebacterium flaccumfaciens oortii"	"Curtobacterium flaccumfaciens"	"Carlson et al., 1982"	2
"Corynebacterium flaccumfaciens poinsettiae"	"Curtobacterium flaccumfaciens"	"Carlson et al., 1982"	2
"Corynebacterium fournierii"	"Corynebacterium fournieri"	"Diop et al., 2018"	2
"Corynebacterium godavarianum"	"Corynebacterium gottingense"	"Jani et al., 2018"	2
"Corynebacterium hadale"	"Corynebacterium gottingense"	"Wei et al., 2018"	2
"Corynebacterium hoagii"	"Rhodococcus hoagii"	"Eberson, 1918"	2
"Corynebacterium insidiosum"	"Clavibacter insidiosus"	"Jensen, 1934"	2
"Corynebacterium iranicum"	"Rathayibacter iranicus"	"Carlson et al., 1982"	2
"Corynebacterium lilium"	"Corynebacterium glutamicum"	"Lee et al., 1963"	2
"Corynebacterium liquefaciens"	"Glutamicibacter mysorens"	"Laneelle et al., 1980"	
"Corynebacterium liquefaciens"	"Glutamicibacter nicotianae"	"Laneelle et al., 1980"	2
"Corynebacterium michiganense"	"Clavibacter michiganensis"	"Jensen, 1934"	2
"Corynebacterium michiganense insidiosum"	"Clavibacter insidiosus"	"Carlson et al., 1982"	2
"Corynebacterium michiganense michiganense"	"Clavibacter michiganensis"	"Carlson et al., 1982"	2
"Corynebacterium michiganense michiganense"	"Clavibacter michiganensis michiganensis"	"Carlson et al., 1982"	2
"Corynebacterium michiganense nebraskense"	"Clavibacter nebraskensis"	"Carlson et al., 1982"	2
"Corynebacterium michiganense sepedonicum"	"Clavibacter sepedonicus"	"Carlson et al., 1982"	2
"Corynebacterium michiganense tessellarius"	"Clavibacter tessellarius"	"Carlson et al., 1982"	2
"Corynebacterium mooreparkense"	"Corynebacterium variabile"	"Brennan et al., 2018"	2
"Corynebacterium nebraskense"	"Clavibacter nebraskensis"	"Vidaver et al., 1974"	2
"Corynebacterium nigricans"	"Corynebacterium aurimucosum"	"Shukla et al., 2018"	2
"Corynebacterium oortii"	"Curtobacterium flaccumfaciens"	"Saaltink et al., 1969"	2
"Corynebacterium paurometabolum"	"Tsukamurella paurometabola"	"Steinhaus, 1941"	2
"Corynebacterium poinsettiae"	"Curtobacterium flaccumfaciens"	"Burkholder, 1948"	2
"Corynebacterium pyogenes"	"Trueperella pyogenes"	"Eberson, 1918"	2
"Corynebacterium rathayi"	"Rathayibacter rathayi"	"Dowson, 1942"	2
"Corynebacterium seminale"	"Corynebacterium glucuronolyticum"	"Riegel et al., 2018"	2
"Corynebacterium sepedonicum"	"Clavibacter sepedonicus"	"Skaptason et al., 1942"	2
"Corynebacterium tritici"	"Rathayibacter tritici"	"Carlson et al., 1982"	2
"Corynebacterium tuscaniae"	"Corynebacterium tuscaniense"	"Riegel et al., 2006"	2
"Corynebacterium urinapleomorphum"	"Corynebacterium urinipleomorphum"	"Niang et al., 2021"	2
"Corynebacterium variabilis"	"Corynebacterium variabile"	"Collins, 1987"	2
"Corynebacterium vitarumen"	"Corynebacterium vitaeruminis"	"Laneelle et al., 1980"	2
"Corynophrya emeritae"	"Distarcon emeritae"	"Small et al., 1985"	3
"Coryphostoma limbata"	"Loxostomina limbata"	"Brady, 1881"	3
"Coryphostoma lobata"	"Pseudobrizalina lobata"	"Brady, 1881"	3
"Coryphostoma sinuosa"	"Loxostomina sinuosa"	"Cushman, 1936"	3
"Coryphostoma spinescens"	"Cassidelina spinescens"	"Cushman, 1911"	3
"Coscinodiscus australis"	"Charcotia australis"	"Karsten, 1905"	3
"Coscinodiscus gazellae"	"Ethmodiscus gazellae"	"Janisch et al., 1879"	3
"Coscinodiscus gracilis"	"Thalassiosira gracilis"	"Karsten"	3
"Coscinodiscus tabularis"	"Azpeitia tabularis"	"Grunow"	3
"Coscinopira hemprichii"	"Coscinospira hemprichii"	"Ehrenberg, 1839"	3
"Cosmospora flavoviridis"	"Nectria flavoviridis"	"Rossman et al., 1999"	2
"Cosmospora ganymede"	"Nectria ganymede"	"Rossman et al., 1999"	2
"Cosmospora magnusiana"	"Nectria magnusiana"	"Rossman et al., 1999"	2
"Cosmospora rishbethii"	"Nectria rishbethii"	"Rossman et al., 1999"	2
"Cothurnia astaci"	"Cothurnopsis astaci"	"Stein, 1854"	3
"Cothurnia bipartita"	"Cyclodonta bipartita"	"Stokes, 1885"	3
"Cothurnia canthocampti"	"Pyxidium canthocampti"	"Monard, 1918"	3
"Cothurnia crystallina"	"Vaginicola crystallina"	"Swarczewsky"	3
"Cothurnia mystacina"	"Metacineta mystacina"	"Ehrenberg, 1831"	3
"Cothurnia paguri"	"Vaginicola paguri"	"Andre, 1910"	3
"Cothurnia pyxidiformis"	"Pyxicola pyxidiformis"	"DUdekem, 1862"	3
"Cothurnia socialis"	"Pyxicola socialis"	"Gruber, 1879"	3
"Cothurnia thuricolae"	"Donicola thuricolae"	"Shubernetzki, 1978"	3
"Cothurnia valvata"	"Cothurniopsis valvata"	"Kahl, 1935"	3
"Cothurniopsis dyonisii"	"Pseudothuricola dyonisii"	"Penard, 1914"	3
"Cothurniopsis elastica"	"Cothurnia elastica"	"Penard, 1914"	3
"Cothurniopsis imberbis"	"Cothurnia imberbis"	"Ehrenberg, 1831"	3
"Cothurniopsis vaga"	"Cothurnia vaga"	"Schrank, 1776"	3
"Cougourdella mrazeki"	"Microsporidium mrazeki"	"Hesse, 1935"	3
"Cougourdella polycentropi"	"Paraepiseptum polycentropi"	"Weiser, 1965"	3
"Cougourdella rhyacophilae"	"Paraepiseptum rhyacophilae"	"Baudoin, 1969"	3
"Cowdria"	"Ehrlichia"	"Moshkovski, 1947"	2
"Cowdria ruminantium"	"Ehrlichia ruminantium"	"Moshkovski, 1947"	2
"Crabtreella"	"Shinella"	"Xie et al., 2006"	2
"Crabtreella saccharophila"	"Shinella zoogloeoides"	"Xie et al., 2006"	2
"Craspedophrya rotunda"	"Heliophrya rotunda"	"Rieder, 1936"	3
"Craspedothorax dubius"	"Chilodonella dubius"	"Sondheim, 1929"	3
"Craterina mollis"	"Allogromia mollis"	"Gruber, 1884"	3
"Crebrothecium ashbyi"	"Eremothecium ashbyi"	"Routien, 1949"	3
"Crenotalea"	"Thermoflavifilum"	"Hanada et al., 2014"	3
"Crenotalea thermophila"	"Thermoflavifilum thermophilum"	"Hanada et al., 2014"	3
"Creonectria bainii"	"Nectria bainii"	"Seaver"	2
"Creonectria rubrosulphurea"	"Nectria rubrosulphurea"	"Seaver, 1926"	2
"Creonectria seminicola"	"Nectria seminicola"	"Seaver, 1909"	2
"Creonectria tuberculariformis"	"Nectria tuberculariformis"	"Seaver, 1909"	2
"Creonectria tucumanensis"	"Nectria tucumanensis"	"Chardon, 1930"	2
"Crepidula beklemishevi"	"Crepidulospora beklemishevi"	"Simakova et al., 2003"	3
"Cribrobigenerina reophaciformis"	"Ammobaculites reophaciformis"	"Cushman, 1910"	3
"Cribrobigenerina robustiformis"	"Cribrogoesella robustiformis"	"Zheng, 1988"	3
"Cribrobigenerina textularioidea"	"Bigenerina textularioidea"	"Goes, 1894"	3
"Cribroelphidium bartletti"	"Elphidium bartletti"	"Cushman, 1933"	3
"Cribroelphidium iranicum"	"Elphidium iranicum"	"Yassini et al., 1977"	3
"Cribroelphidium lene"	"Elphidium lene"	"Cushman et al., 1940"	3
"Cribroelphidium reticulosum"	"Elphidium reticulosum"	"Cushman, 1933"	3
"Cribroelphidium subincertum"	"Elphidium subincertum"	"Asano, 1950"	3
"Cribroeponides cribrorepandus"	"Eponides cribrorepandus"	"Asano et al., 1951"	3
"Cribrogenerina reophaciformis"	"Ammobaculites reophaciformis"	"Cushman, 1910"	3
"Cribrononion advenum"	"Elphidium advenum"	"Cushman, 1922"	3
"Cribrononion asiaticum"	"Elphidium asiaticum"	"Polski, 1959"	3
"Cribrononion frigidum"	"Elphidium frigidum"	"Cushman, 1933"	3
"Cribrononion hawkesburyense"	"Elphidium hawkesburyense"	"Albani, 1974"	3
"Cribrononion incertum"	"Cribroelphidium incertum"	"Williamson, 1848"	3
"Cribrononion kerguelenense"	"Elphidium kerguelenense"	"Parr, 1950"	3
"Cribrononion milletti"	"Cristatavultus milletti"	"Heron-Allen et al., 1915"	3
"Cribrononion sandiegoense"	"Elphidium sandiegoense"	"Lankford, 1973"	3
"Cribrononion subarcticum"	"Cribroelphidium subarcticum"	"Cushman, 1944"	3
"Cribrononion subincertum"	"Elphidium subincertum"	"Asano, 1951"	3
"Cribrononion translucens"	"Elphidium translucens"	"Natland, 1938"	3
"Cribrononion venetum"	"Elphidium venetum"	"Albani et al., 1991"	3
"Cribrostomoides canariensis"	"Haplophragmoides canariensis"	"DOrbigny, 1839"	3
"Cribrostomoides columbiensis"	"Labrospira columbiensis"	"Cushman, 1925"	3
"Cribrostomoides contortus"	"Recurvoides contortus"	"Earland, 1934"	3
"Cribrostomoides crassimargo"	"Labrospira crassimargo"	"Norman, 1892"	3
"Cribrostomoides pseudocanariensis"	"Labrospira pseudocanariensis"	"Zheng, 1988"	3
"Cribrostomoides ringens"	"Buzasina ringens"	"Brady, 1879"	3
"Cribrostomoides wiesneri"	"Veleroninoides wiesneri"	"Parr, 1950"	3
"Cricocoleps amphacanthus"	"Coleps amphacanthus"	"Diesing, 1866"	3
"Cristaspora arxii"	"Aspergillus arxii"	"Fort et al., 1984"	2
"Cristellaria (Cristellaire) nitida"	"Lenticulina nitida"	"DOrbigny, 1826"	3
"Cristellaria (Cristellaria) costata"	"Cristellaria costata"	"DOrbigny, 1826"	3
"Cristellaria (Cristellaria) larva"	"Lenticulina larva"	"Stache, 1864"	3
"Cristellaria (Cristellaria) mamilligera"	"Lenticulina mamilligera"	"Karrer, 1864"	3
"Cristellaria (Cristellaria) papillosa"	"Lenticulina papillosa"	"DOrbigny, 1826"	3
"Cristellaria (Cristellaria) schloenbachi"	"Astacolus schloenbachi"	"Reuss, 1863"	3
"Cristellaria (Cristellaria) tricarinella"	"Planularia tricarinella"	"Reuss, 1863"	3
"Cristellaria (Marginulina) obtusata"	"Vaginulinopsis obtusata"	"Reuss, 1870"	3
