# -------------------------------------------------------------------------------------------------------------------------------
# For editing this interpretive rules reference file, these values can all be used for targeting antibiotics:
# aminoglycosides, aminopenicillins, antifungals, antimycobacterials, betalactams, betalactams_with_inhibitor, carbapenems, cephalosporins, cephalosporins_1st, cephalosporins_2nd, cephalosporins_3rd, cephalosporins_4th, cephalosporins_5th, cephalosporins_except_CAZ, fluoroquinolones, glycopeptides, glycopeptides_except_lipo, lincosamides, lipoglycopeptides, macrolides, oxazolidinones, penicillins, polymyxins, quinolones, streptogramins, tetracyclines, tetracyclines_except_TGC, trimethoprims, ureidopenicillins
# and all separate EARS-Net letter codes such as AMC. They can be separated by comma: 'AMC, fluoroquinolones'.
# The 'if_mo_property' column can be any column name from the AMR::microorganisms data set, or 'genus_species' or 'gramstain'. If 'this_value' exists in AMR::microorganisms.groups$mo_group_name it will be expanded in interpretive_rules() to all relevant species occuring in microorganisms.groups$mo_name before further processing of the line in this file.
# The like.is.one_of column must be 'like' or 'is' or 'one_of' ('like' will read the 'this_value' column as regular expression)
# The EUCAST guideline contains references to the 'Burkholderia cepacia complex'. All species in this group are noted on the 'B.cepacia' sheet of the EUCAST Clinical Breakpoint v.10.0 Excel file of 2020 and later
# >>>>> IF YOU WANT TO IMPORT THIS FILE INTO YOUR OWN SOFTWARE, HAVE THE FIRST 9 LINES SKIPPED <<<<<
# -------------------------------------------------------------------------------------------------------------------------------
rule.provider	reference.rule_group	reference.version	reference.rule	if_mo_property	like.is.one_of	this_value	and_these_antibiotics	have_these_values	then_change_these_antibiotics	to_value	note
EUCAST	Breakpoints	10	Aerococcus sanguinicola	genus_species	is	Aerococcus sanguinicola	NOR	S	fluoroquinolones	S	
EUCAST	Breakpoints	10	Aerococcus sanguinicola	genus_species	is	Aerococcus sanguinicola	NOR	I	fluoroquinolones	I	
EUCAST	Breakpoints	10	Aerococcus sanguinicola	genus_species	is	Aerococcus sanguinicola	NOR	R	fluoroquinolones	R	
EUCAST	Breakpoints	10	Aerococcus sanguinicola	genus_species	is	Aerococcus sanguinicola	CIP	S	LVX	S	
EUCAST	Breakpoints	10	Aerococcus sanguinicola	genus_species	is	Aerococcus sanguinicola	CIP	I	LVX	I	
EUCAST	Breakpoints	10	Aerococcus urinae	genus_species	is	Aerococcus sanguinicola	CIP	R	LVX	R	
EUCAST	Breakpoints	10	Aerococcus urinae	genus_species	is	Aerococcus urinae	NOR	S	fluoroquinolones	S	
EUCAST	Breakpoints	10	Aerococcus urinae	genus_species	is	Aerococcus urinae	NOR	I	fluoroquinolones	I	
EUCAST	Breakpoints	10	Aerococcus urinae	genus_species	is	Aerococcus urinae	NOR	R	fluoroquinolones	R	
EUCAST	Breakpoints	10	Aerococcus urinae	genus_species	is	Aerococcus urinae	CIP	S	LVX	S	
EUCAST	Breakpoints	10	Aerococcus urinae	genus_species	is	Aerococcus urinae	CIP	I	LVX	I	
EUCAST	Breakpoints	10	Aerococcus urinae	genus_species	is	Aerococcus urinae	CIP	R	LVX	R	
EUCAST	Breakpoints	10	Anaerobic Gram-negatives	genus	one_of	Bacteroides, Bilophila , Fusobacterium, Mobiluncus, Porphyromonas, Prevotella	PEN	S	AMP, AMX, PIP, TZP, TIC	S	
EUCAST	Breakpoints	10	Anaerobic Gram-negatives	genus	one_of	Bacteroides, Bilophila , Fusobacterium, Mobiluncus, Porphyromonas, Prevotella	PEN	I	AMP, AMX, PIP, TZP, TIC	I	
EUCAST	Breakpoints	10	Anaerobic Gram-negatives	genus	one_of	Bacteroides, Bilophila , Fusobacterium, Mobiluncus, Porphyromonas, Prevotella	PEN	R	AMP, AMX, PIP, TZP, TIC	R	
EUCAST	Breakpoints	10	Anaerobic Gram-positives	genus	one_of	Actinomyces, Bifidobacterium, Clostridium, Clostridioides, Cutibacterium, Eggerthella, Eubacterium, Lactobacillus, Propionibacterium	PEN	S	AMP, AMX, PIP, TZP, TIC	S	
EUCAST	Breakpoints	10	Anaerobic Gram-positives	genus	one_of	Actinomyces, Bifidobacterium, Clostridium, Clostridioides, Cutibacterium, Eggerthella, Eubacterium, Lactobacillus, Propionibacterium	PEN	I	AMP, AMX, PIP, TZP, TIC	I	
EUCAST	Breakpoints	10	Anaerobic Gram-positives	genus	one_of	Actinomyces, Bifidobacterium, Clostridium, Clostridioides, Cutibacterium, Eggerthella, Eubacterium, Lactobacillus, Propionibacterium	PEN	R	AMP, AMX, PIP, TZP, TIC	R	
EUCAST	Breakpoints	10	Burkholderia pseudomallei	genus_species	is	Burkholderia pseudomallei	TCY	S	DOX	S	
EUCAST	Breakpoints	10	Burkholderia pseudomallei	genus_species	is	Burkholderia pseudomallei	TCY	I	DOX	I	
EUCAST	Breakpoints	10	Burkholderia pseudomallei	genus_species	is	Burkholderia pseudomallei	TCY	R	DOX	R	
EUCAST	Breakpoints	10	Campylobacter coli	genus_species	is	Campylobacter coli	ERY	S	AZM, CLR	S	
EUCAST	Breakpoints	10	Campylobacter coli	genus_species	is	Campylobacter coli	ERY	I	AZM, CLR	I	
EUCAST	Breakpoints	10	Campylobacter coli	genus_species	is	Campylobacter coli	ERY	R	AZM, CLR	R	
EUCAST	Breakpoints	10	Campylobacter coli	genus_species	is	Campylobacter coli	TCY	S	DOX	S	
EUCAST	Breakpoints	10	Campylobacter coli	genus_species	is	Campylobacter coli	TCY	I	DOX	I	
EUCAST	Breakpoints	10	Campylobacter coli	genus_species	is	Campylobacter coli	TCY	R	DOX	R	
EUCAST	Breakpoints	10	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	ERY	S	AZM, CLR	S	
EUCAST	Breakpoints	10	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	ERY	I	AZM, CLR	I	
EUCAST	Breakpoints	10	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	ERY	R	AZM, CLR	R	
EUCAST	Breakpoints	10	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	TCY	S	DOX	S	
EUCAST	Breakpoints	10	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	TCY	I	DOX	I	
EUCAST	Breakpoints	10	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	TCY	R	DOX	R	
EUCAST	Breakpoints	10	Enterobacterales (Order)	order	is	Enterobacterales	AMP	S	AMX	S	
EUCAST	Breakpoints	10	Enterobacterales (Order)	order	is	Enterobacterales	AMP	I	AMX	I	
EUCAST	Breakpoints	10	Enterobacterales (Order)	order	is	Enterobacterales	AMP	R	AMX	R	
EUCAST	Breakpoints	10	Enterococcus	genus	is	Enterococcus	AMP	S	AMX, AMC, PIP, TZP	S	
EUCAST	Breakpoints	10	Enterococcus	genus	is	Enterococcus	AMP	I	AMX, AMC, PIP, TZP	I	
EUCAST	Breakpoints	10	Enterococcus	genus	is	Enterococcus	AMP	R	AMX, AMC, PIP, TZP	R	
EUCAST	Breakpoints	10	Enterococcus	genus	is	Enterococcus	NOR	S	CIP, LVX	S	
EUCAST	Breakpoints	10	Enterococcus	genus	is	Enterococcus	NOR	I	CIP, LVX	I	
EUCAST	Breakpoints	10	Enterococcus	genus	is	Enterococcus	NOR	R	CIP, LVX	R	
EUCAST	Breakpoints	10	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMP	S	AMX, PIP	S	
EUCAST	Breakpoints	10	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMP	I	AMX, PIP	I	
EUCAST	Breakpoints	10	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMP	R	AMX, PIP	R	
EUCAST	Breakpoints	10	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	PEN	S	AMP, AMX, AMC, PIP, TZP	S	
EUCAST	Breakpoints	10	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMC	S	TZP	S	
EUCAST	Breakpoints	10	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMC	I	TZP	I	
EUCAST	Breakpoints	10	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMC	R	TZP	R	
EUCAST	Breakpoints	10	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	NAL	S	CIP, LVX, MFX, OFX	S	
EUCAST	Breakpoints	10	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	TCY	S	DOX, MNO	S	
EUCAST	Breakpoints	10	Kingella kingae	genus_species	is	Kingella kingae	PEN	S	AMP, AMX	S	
EUCAST	Breakpoints	10	Kingella kingae	genus_species	is	Kingella kingae	PEN	I	AMP, AMX	I	
EUCAST	Breakpoints	10	Kingella kingae	genus_species	is	Kingella kingae	PEN	R	AMP, AMX	R	
EUCAST	Breakpoints	10	Kingella kingae	genus_species	is	Kingella kingae	ERY	S	AZM, CLR	S	
EUCAST	Breakpoints	10	Kingella kingae	genus_species	is	Kingella kingae	ERY	I	AZM, CLR	I	
EUCAST	Breakpoints	10	Kingella kingae	genus_species	is	Kingella kingae	ERY	R	AZM, CLR	R	
EUCAST	Breakpoints	10	Kingella kingae	genus_species	is	Kingella kingae	TCY	S	DOX	S	
EUCAST	Breakpoints	10	Kingella kingae	genus_species	is	Kingella kingae	TCY	I	DOX	I	
EUCAST	Breakpoints	10	Kingella kingae	genus_species	is	Kingella kingae	TCY	R	DOX	R	
EUCAST	Breakpoints	10	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	AMC	S	TZP	S	
EUCAST	Breakpoints	10	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	AMC	I	TZP	I	
EUCAST	Breakpoints	10	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	AMC	R	TZP	R	
EUCAST	Breakpoints	10	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	NAL	S	CIP, LVX, MFX, OFX	S	
EUCAST	Breakpoints	10	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	ERY	S	AZM, CLR, RXT	S	
EUCAST	Breakpoints	10	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	ERY	I	AZM, CLR, RXT	I	
EUCAST	Breakpoints	10	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	ERY	R	AZM, CLR, RXT	R	
EUCAST	Breakpoints	10	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	TCY	S	DOX, MNO	S	
EUCAST	Breakpoints	10	Pasteurella multocida	genus_species	is	Pasteurella multocida	PEN	S	AMP, AMX	S	
EUCAST	Breakpoints	10	Pasteurella multocida	genus_species	is	Pasteurella multocida	PEN	I	AMP, AMX	I	
EUCAST	Breakpoints	10	Pasteurella multocida	genus_species	is	Pasteurella multocida	PEN	R	AMP, AMX	R	
EUCAST	Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	PEN, FOX	S	betalactams_with_inhibitor	S	
EUCAST	Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	PEN, FOX	R, S	OXA, FLC	S	
EUCAST	Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	FOX	R	betalactams	R	
EUCAST	Breakpoints	10	Staphylococcus	genus_species	is	Staphylococcus saprophyticus	AMP	S	AMX, AMC, PIP, TZP	S	
EUCAST	Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	FOX	S	carbapenems, cephalosporins_except_CAZ	S	
EUCAST	Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	FOX	I	carbapenems, cephalosporins_except_CAZ	I	
EUCAST	Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	FOX	R	carbapenems, cephalosporins_except_CAZ	R	
EUCAST	Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	NOR	S	CIP, LVX, MFX, OFX	S	
EUCAST	Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	ERY	S	AZM, CLR, RXT	S	
EUCAST	Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	ERY	I	AZM, CLR, RXT	I	
EUCAST	Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	ERY	R	AZM, CLR, RXT	R	
EUCAST	Breakpoints	10	Staphylococcus	genus	is	Staphylococcus	TCY	S	DOX, MNO	S	
EUCAST	Breakpoints	10	Streptococcus groups A, B, C, G	genus_species	one_of	Streptococcus Group A, Streptococcus Group B, Streptococcus Group C, Streptococcus Group G	PEN	S	aminopenicillins, ureidopenicillins, cephalosporins_except_CAZ, carbapenems, FLC, AMC	S	
EUCAST	Breakpoints	10	Streptococcus groups A, B, C, G	genus_species	one_of	Streptococcus Group A, Streptococcus Group B, Streptococcus Group C, Streptococcus Group G	PEN	I	aminopenicillins, ureidopenicillins, cephalosporins_except_CAZ, carbapenems, FLC, AMC	I	
EUCAST	Breakpoints	10	Streptococcus groups A, B, C, G	genus_species	one_of	Streptococcus Group A, Streptococcus Group B, Streptococcus Group C, Streptococcus Group G	PEN	R	aminopenicillins, ureidopenicillins, cephalosporins_except_CAZ, carbapenems, FLC, AMC	R	
EUCAST	Breakpoints	10	Streptococcus groups A, B, C, G	genus_species	one_of	Streptococcus Group A, Streptococcus Group B, Streptococcus Group C, Streptococcus Group G	NOR	S	MFX	S	
EUCAST	Breakpoints	10	Streptococcus groups A, B, C, G	genus_species	one_of	Streptococcus Group A, Streptococcus Group B, Streptococcus Group C, Streptococcus Group G	NOR	S	LVX	I	
EUCAST	Breakpoints	10	Streptococcus groups A, B, C, G	genus_species	one_of	Streptococcus Group A, Streptococcus Group B, Streptococcus Group C, Streptococcus Group G	ERY	S	AZM, CLR, RXT	S	
EUCAST	Breakpoints	10	Streptococcus groups A, B, C, G	genus_species	one_of	Streptococcus Group A, Streptococcus Group B, Streptococcus Group C, Streptococcus Group G	ERY	I	AZM, CLR, RXT	I	
EUCAST	Breakpoints	10	Streptococcus groups A, B, C, G	genus_species	one_of	Streptococcus Group A, Streptococcus Group B, Streptococcus Group C, Streptococcus Group G	ERY	R	AZM, CLR, RXT	R	
EUCAST	Breakpoints	10	Streptococcus groups A, B, C, G	genus_species	one_of	Streptococcus Group A, Streptococcus Group B, Streptococcus Group C, Streptococcus Group G	TCY	S	DOX, MNO	S	
EUCAST	Breakpoints	10	Streptococcus pneumoniae	genus_species	is	Streptococcus pneumoniae	PEN	S	AMP, AMX, AMC, PIP, TZP	S	
EUCAST	Breakpoints	10	Streptococcus pneumoniae	genus_species	is	Streptococcus pneumoniae	AMP	S	AMX, AMC, PIP, TZP	S	
EUCAST	Breakpoints	10	Streptococcus pneumoniae	genus_species	is	Streptococcus pneumoniae	AMP	I	AMX, AMC, PIP, TZP	I	
EUCAST	Breakpoints	10	Streptococcus pneumoniae	genus_species	is	Streptococcus pneumoniae	AMP	R	AMX, AMC, PIP, TZP	R	
EUCAST	Breakpoints	10	Streptococcus pneumoniae	genus_species	is	Streptococcus pneumoniae	NOR	S	MFX	S	
EUCAST	Breakpoints	10	Streptococcus pneumoniae	genus_species	is	Streptococcus pneumoniae	NOR	S	LVX	I	
EUCAST	Breakpoints	10	Streptococcus pneumoniae	genus_species	is	Streptococcus pneumoniae	ERY	S	AZM, CLR, RXT	S	
EUCAST	Breakpoints	10	Streptococcus pneumoniae	genus_species	is	Streptococcus pneumoniae	ERY	I	AZM, CLR, RXT	I	
EUCAST	Breakpoints	10	Streptococcus pneumoniae	genus_species	is	Streptococcus pneumoniae	ERY	R	AZM, CLR, RXT	R	
EUCAST	Breakpoints	10	Streptococcus pneumoniae	genus_species	is	Streptococcus pneumoniae	TCY	S	DOX, MNO	S	
EUCAST	Breakpoints	10	Viridans group streptococci	genus_species	like	^Streptococcus (anginosus|australis|bovis|constellatus|cristatus|equinus|gallolyticus|gordonii|infantarius|infantis|intermedius|mitis|mutans|oligofermentans|oralis|parasanguinis|peroris|pseudopneumoniae|salivarius|sanguinis|sinensis|sobrinus|thermophilus|vestibularis|viridans)$	PEN	S	AMP, AMX, AMC, PIP, TZP	S	
EUCAST	Breakpoints	10	Viridans group streptococci	genus_species	like	^Streptococcus (anginosus|australis|bovis|constellatus|cristatus|equinus|gallolyticus|gordonii|infantarius|infantis|intermedius|mitis|mutans|oligofermentans|oralis|parasanguinis|peroris|pseudopneumoniae|salivarius|sanguinis|sinensis|sobrinus|thermophilus|vestibularis|viridans)$	AMP	S	AMX, AMC, PIP, TZP	S	
EUCAST	Breakpoints	10	Viridans group streptococci	genus_species	like	^Streptococcus (anginosus|australis|bovis|constellatus|cristatus|equinus|gallolyticus|gordonii|infantarius|infantis|intermedius|mitis|mutans|oligofermentans|oralis|parasanguinis|peroris|pseudopneumoniae|salivarius|sanguinis|sinensis|sobrinus|thermophilus|vestibularis|viridans)$	AMP	I	AMX, AMC, PIP, TZP	I	
EUCAST	Breakpoints	10	Viridans group streptococci	genus_species	like	^Streptococcus (anginosus|australis|bovis|constellatus|cristatus|equinus|gallolyticus|gordonii|infantarius|infantis|intermedius|mitis|mutans|oligofermentans|oralis|parasanguinis|peroris|pseudopneumoniae|salivarius|sanguinis|sinensis|sobrinus|thermophilus|vestibularis|viridans)$	AMP	R	AMX, AMC, PIP, TZP	R	
EUCAST	Breakpoints	11	Aerococcus sanguinicola	genus_species	is	Aerococcus sanguinicola	NOR	S	fluoroquinolones	S	
EUCAST	Breakpoints	11	Aerococcus sanguinicola	genus_species	is	Aerococcus sanguinicola	NOR	I	fluoroquinolones	I	
EUCAST	Breakpoints	11	Aerococcus sanguinicola	genus_species	is	Aerococcus sanguinicola	NOR	R	fluoroquinolones	R	
EUCAST	Breakpoints	11	Aerococcus sanguinicola	genus_species	is	Aerococcus sanguinicola	CIP	S	LVX	S	
EUCAST	Breakpoints	11	Aerococcus sanguinicola	genus_species	is	Aerococcus sanguinicola	CIP	I	LVX	I	
EUCAST	Breakpoints	11	Aerococcus urinae	genus_species	is	Aerococcus sanguinicola	CIP	R	LVX	R	
EUCAST	Breakpoints	11	Aerococcus urinae	genus_species	is	Aerococcus urinae	NOR	S	fluoroquinolones	S	
EUCAST	Breakpoints	11	Aerococcus urinae	genus_species	is	Aerococcus urinae	NOR	I	fluoroquinolones	I	
EUCAST	Breakpoints	11	Aerococcus urinae	genus_species	is	Aerococcus urinae	NOR	R	fluoroquinolones	R	
EUCAST	Breakpoints	11	Aerococcus urinae	genus_species	is	Aerococcus urinae	CIP	S	LVX	S	
EUCAST	Breakpoints	11	Aerococcus urinae	genus_species	is	Aerococcus urinae	CIP	I	LVX	I	
EUCAST	Breakpoints	11	Aerococcus urinae	genus_species	is	Aerococcus urinae	CIP	R	LVX	R	
EUCAST	Breakpoints	11	Anaerobic Gram-negatives	genus	one_of	Bacteroides, Bilophila , Fusobacterium, Mobiluncus, Porphyromonas, Prevotella	PEN	S	AMP, AMX, PIP, TIC	S	
EUCAST	Breakpoints	11	Anaerobic Gram-negatives	genus	one_of	Bacteroides, Bilophila , Fusobacterium, Mobiluncus, Porphyromonas, Prevotella	PEN	I	AMP, AMX, PIP, TIC	I	
EUCAST	Breakpoints	11	Anaerobic Gram-negatives	genus	one_of	Bacteroides, Bilophila , Fusobacterium, Mobiluncus, Porphyromonas, Prevotella	PEN	R	AMP, AMX, PIP, TIC	R	
EUCAST	Breakpoints	11	Anaerobic Gram-positives	genus	one_of	Actinomyces, Bifidobacterium, Clostridium, Clostridioides, Cutibacterium, Eggerthella, Eubacterium, Lactobacillus, Propionibacterium	PEN	S	AMP, AMX, PIP, TIC	S	
EUCAST	Breakpoints	11	Anaerobic Gram-positives	genus	one_of	Actinomyces, Bifidobacterium, Clostridium, Clostridioides, Cutibacterium, Eggerthella, Eubacterium, Lactobacillus, Propionibacterium	PEN	I	AMP, AMX, PIP, TIC	I	
EUCAST	Breakpoints	11	Anaerobic Gram-positives	genus	one_of	Actinomyces, Bifidobacterium, Clostridium, Clostridioides, Cutibacterium, Eggerthella, Eubacterium, Lactobacillus, Propionibacterium	PEN	R	AMP, AMX, PIP, TIC	R	
EUCAST	Breakpoints	11	Bacillus	genus	is	Bacillus	NOR	S	fluoroquinolones	S	added in 11
EUCAST	Breakpoints	11	Bacillus	genus	is	Bacillus	NOR	I	fluoroquinolones	I	added in 11
EUCAST	Breakpoints	11	Bacillus	genus	is	Bacillus	NOR	R	fluoroquinolones	R	added in 11
EUCAST	Breakpoints	11	Burkholderia pseudomallei	genus_species	is	Burkholderia pseudomallei	TCY	S	DOX	S	
EUCAST	Breakpoints	11	Burkholderia pseudomallei	genus_species	is	Burkholderia pseudomallei	TCY	I	DOX	I	
EUCAST	Breakpoints	11	Burkholderia pseudomallei	genus_species	is	Burkholderia pseudomallei	TCY	R	DOX	R	
EUCAST	Breakpoints	11	Campylobacter coli	genus_species	is	Campylobacter coli	ERY	S	AZM, CLR	S	
EUCAST	Breakpoints	11	Campylobacter coli	genus_species	is	Campylobacter coli	ERY	I	AZM, CLR	I	
EUCAST	Breakpoints	11	Campylobacter coli	genus_species	is	Campylobacter coli	ERY	R	AZM, CLR	R	
EUCAST	Breakpoints	11	Campylobacter coli	genus_species	is	Campylobacter coli	TCY	S	DOX	S	
EUCAST	Breakpoints	11	Campylobacter coli	genus_species	is	Campylobacter coli	TCY	I	DOX	I	
EUCAST	Breakpoints	11	Campylobacter coli	genus_species	is	Campylobacter coli	TCY	R	DOX	R	
EUCAST	Breakpoints	11	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	ERY	S	AZM, CLR	S	
EUCAST	Breakpoints	11	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	ERY	I	AZM, CLR	I	
EUCAST	Breakpoints	11	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	ERY	R	AZM, CLR	R	
EUCAST	Breakpoints	11	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	TCY	S	DOX	S	
EUCAST	Breakpoints	11	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	TCY	I	DOX	I	
EUCAST	Breakpoints	11	Campylobacter jejuni	genus_species	is	Campylobacter jejuni	TCY	R	DOX	R	
EUCAST	Breakpoints	11	Enterobacterales (Order)	order	is	Enterobacterales	AMP	S	AMX	S	
EUCAST	Breakpoints	11	Enterobacterales (Order)	order	is	Enterobacterales	AMP	I	AMX	I	
EUCAST	Breakpoints	11	Enterobacterales (Order)	order	is	Enterobacterales	AMP	R	AMX	R	
EUCAST	Breakpoints	11	Enterococcus	genus	is	Enterococcus	AMP	S	AMX, AMC, PIP, TZP	S	
EUCAST	Breakpoints	11	Enterococcus	genus	is	Enterococcus	AMP	I	AMX, AMC, PIP, TZP	I	
EUCAST	Breakpoints	11	Enterococcus	genus	is	Enterococcus	AMP	R	AMX, AMC, PIP, TZP	R	
EUCAST	Breakpoints	11	Enterococcus	genus	is	Enterococcus	NOR	S	CIP, LVX	S	
EUCAST	Breakpoints	11	Enterococcus	genus	is	Enterococcus	NOR	I	CIP, LVX	I	
EUCAST	Breakpoints	11	Enterococcus	genus	is	Enterococcus	NOR	R	CIP, LVX	R	
EUCAST	Breakpoints	11	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMP	S	AMX, PIP	S	
EUCAST	Breakpoints	11	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMP	I	AMX, PIP	I	
EUCAST	Breakpoints	11	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMP	R	AMX, PIP	R	
EUCAST	Breakpoints	11	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	PEN	S	AMP, AMX, AMC, PIP, TZP	S	
EUCAST	Breakpoints	11	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMC	S	TZP	S	
EUCAST	Breakpoints	11	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMC	I	TZP	I	
EUCAST	Breakpoints	11	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	AMC	R	TZP	R	
EUCAST	Breakpoints	11	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	NAL	S	CIP, LVX, MFX, OFX	S	
EUCAST	Breakpoints	11	Haemophilus influenzae	genus_species	is	Haemophilus influenzae	TCY	S	DOX, MNO	S	
EUCAST	Breakpoints	11	Kingella kingae	genus_species	is	Kingella kingae	PEN	S	AMP, AMX	S	
EUCAST	Breakpoints	11	Kingella kingae	genus_species	is	Kingella kingae	PEN	I	AMP, AMX	I	
EUCAST	Breakpoints	11	Kingella kingae	genus_species	is	Kingella kingae	PEN	R	AMP, AMX	R	
EUCAST	Breakpoints	11	Kingella kingae	genus_species	is	Kingella kingae	ERY	S	AZM, CLR	S	
EUCAST	Breakpoints	11	Kingella kingae	genus_species	is	Kingella kingae	ERY	I	AZM, CLR	I	
EUCAST	Breakpoints	11	Kingella kingae	genus_species	is	Kingella kingae	ERY	R	AZM, CLR	R	
EUCAST	Breakpoints	11	Kingella kingae	genus_species	is	Kingella kingae	TCY	S	DOX	S	
EUCAST	Breakpoints	11	Kingella kingae	genus_species	is	Kingella kingae	TCY	I	DOX	I	
EUCAST	Breakpoints	11	Kingella kingae	genus_species	is	Kingella kingae	TCY	R	DOX	R	
EUCAST	Breakpoints	11	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	AMC	S	TZP	S	
EUCAST	Breakpoints	11	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	AMC	I	TZP	I	
EUCAST	Breakpoints	11	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	AMC	R	TZP	R	
EUCAST	Breakpoints	11	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	NAL	S	CIP, LVX, MFX, OFX	S	
EUCAST	Breakpoints	11	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	ERY	S	AZM, CLR, RXT	S	
EUCAST	Breakpoints	11	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	ERY	I	AZM, CLR, RXT	I	
EUCAST	Breakpoints	11	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	ERY	R	AZM, CLR, RXT	R	
EUCAST	Breakpoints	11	Moraxella catarrhalis	genus_species	is	Moraxella catarrhalis	TCY	S	DOX, MNO	S	
EUCAST	Breakpoints	11	Pasteurella multocida	genus_species	is	Pasteurella multocida	PEN	S	AMP, AMX	S	
EUCAST	Breakpoints	11	Pasteurella multocida	genus_species	is	Pasteurella multocida	PEN	I	AMP, AMX	I	
EUCAST	Breakpoints	11	Pasteurella multocida	genus_species	is	Pasteurella multocida	PEN	R	AMP, AMX	R	
EUCAST	Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	PEN, FOX	S	betalactams_with_inhibitor	S	
EUCAST	Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	PEN, FOX	R, S	OXA, FLC	S	
EUCAST	Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	FOX	R	betalactams	R	
EUCAST	Breakpoints	11	Staphylococcus	genus_species	is	Staphylococcus saprophyticus	AMP	S	AMX, AMC, PIP, TZP	S	
EUCAST	Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	FOX	S	carbapenems, cephalosporins_except_CAZ	S	
EUCAST	Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	FOX	I	carbapenems, cephalosporins_except_CAZ	I	
EUCAST	Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	FOX	R	carbapenems, cephalosporins_except_CAZ	R	
EUCAST	Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	NOR	S	CIP, LVX, MFX, OFX	S	
EUCAST	Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	ERY	S	AZM, CLR, RXT	S	
EUCAST	Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	ERY	I	AZM, CLR, RXT	I	
EUCAST	Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	ERY	R	AZM, CLR, RXT	R	
EUCAST	Breakpoints	11	Staphylococcus	genus	is	Staphylococcus	TCY	S	DOX, MNO	S	
EUCAST	Breakpoints	11	Staphylococcus	genus_species	is	Staphylococcus aureus	FOX-S	S	CTX, CRO	I	
