"code"	"mo"
"3051"	"B_AERMN_HYDR"
"3052"	"B_AERMN_SOBR"
"3053"	"B_AERMN_CAVI"
"3100"	"B_PSTRL"
"3101"	"B_PSTRL_MLTC"
"3150"	"B_PLSMN"
"3151"	"B_PLSMN_SHGL"
"3200"	"B_HMPHL"
"3201"	"B_HMPHL_INFL"
"3230"	"B_HMPHL_PRNF"
"3240"	"B_HMPHL_HMLY"
"3241"	"B_HMPHL_PRHM"
"3242"	"B_CANCL_HMGL"
"3243"	"B_HMPHL_DCRY"
"3244"	"B_AGGRG_APHR"
"3250"	"B_GRDNR"
"3251"	"B_GRDNR_VGNL"
"3270"	"B_BRDTL"
"3271"	"B_BRDTL_PRTS"
"3272"	"B_BRDTL_PRTS"
"3273"	"B_BRDTL_PRTS"
"3300"	"B_LGNLL"
"3400"	"B_ACTNB"
"3401"	"B_AGGRG_ACTN"
"3430"	"B_CPNCY"
"3450"	"B_CRDBC"
"3451"	"B_CRDBC_HMNS"
"3470"	"B_EKNLL"
"3471"	"B_EKNLL_CRRD"
"3500"	"B_FRNCS"
"3501"	"B_FRNCS_TLRN_TLRN"
"3550"	"B_BRCLL"
"3551"	"B_BRCLL_MLTN"
"3553"	"B_BRCLL_MLTN"
"3554"	"B_BRCLL_MLTN"
"3556"	"B_BRCLL_MLTN"
"3700"	"B_CMPYL"
"3701"	"B_CMPYL_JEJN_JEJN"
"3702"	"B_CMPYL_COLI"
"3703"	"B_CMPYL_FETS_FETS"
"3730"	"B_HLCBCT"
"3731"	"B_HLCBCT_PYLR"
"3800"	"B_KGLLA"
"3801"	"B_KGLLA_KING"
"4000"	"B_PSDMN"
"4001"	"B_PSDMN_AERG"
"4003"	"B_RLSTN_PCKT"
"4011"	"B_PSDMN_PUTD"
"4012"	"B_PSDMN_FLRS"
"4015"	"B_PSDMN_STTZ"
"4050"	"B_BRKHL"
"4051"	"B_BRKHL_CEPC"
"4052"	"B_BRKHL_MALL"
"4053"	"B_BRKHL_MALL"
"4100"	"B_ALCLG"
"4101"	"B_ALCLG_FCLS"
"4102"	"B_ACHRMB_XYLS"
"4150"	"B_XNTHM"
"4151"	"B_STNTR_MLTP"
"4200"	"B_FLVBC"
"4201"	"B_MYRDS_DRTS"
"4210"	"B_MYRDS"
"4250"	"B_CHRYS"
"4251"	"B_ELZBT_MNNG"
"4252"	"B_CHRYS_INDL"
"4300"	"B_SPHNGB"
"4301"	"B_SPHNGB_MLTV"
"4302"	"B_SPHNGB_SPRT"
"4350"	"B_SHWNL"
"4351"	"B_SHWNL_PTRF"
"4400"	"B_ACNTB"
"4401"	"B_ACNTB_CLCC"
"4402"	"B_ACNTB_BMNN"
"4403"	"B_ACNTB_LWFF"
"4450"	"B_RHZBM"
"4451"	"B_AGRBCT_RDBC"
"4501"	"B_MRXLL_LCNT"
"4502"	"B_MRXLL_OSLN"
"4503"	"B_MRXLL_BOVS"
"4550"	"B_CHRMB"
"4551"	"B_CSMNS_LUTL"
"4600"	"B_CMMNS"
"4601"	"B_DELFT_ACDV"
"4610"	"B_DELFT"
"4650"	"B_PSDMN"
"4651"	"B_PSDMN_ORYZ"
"479"	"B_SHGLL_FLXN"
"5000"	"B_PPTST"
"5001"	"B_FNGLD_MAGN"
"5002"	"B_ANRCC_PRVT"
"5003"	"B_PPTNP_ASCC"
